subject,session,task,unit,electrode,location,area,region,hemisphere,n_spikes,fr_hz,isolation_distance,mean_proj_dist,mean_snr,peak_snr,cluster_id_orig
11,1,screening,40,15,pre_supplementary_motor_area_left,preSMA,MFC,L,1981,2.5125423074360342,423.9859719557811,13.00805119875253,0.8889061269274332,3.5356349870658796,887
11,1,screening,41,16,pre_supplementary_motor_area_left,preSMA,MFC,L,3969,5.0339628562411,,12.044024666235888,0.9912635660725546,4.228236807056152,1105
11,1,screening,42,16,pre_supplementary_motor_area_left,preSMA,MFC,L,1958,2.4833709429377864,394.1116444603067,12.044024666235888,0.7976108974087281,3.4758855599724625,1104
11,1,screening,43,17,pre_supplementary_motor_area_left,preSMA,MFC,L,3507,4.447998925884994,66.17017346398268,13.976082037291512,2.9648229764727763,11.077041632801581,1676
11,1,screening,44,17,pre_supplementary_motor_area_left,preSMA,MFC,L,1422,1.8035513181090563,12.598275968264161,8.89216330988037,2.057328694090131,7.449977662303814,1659
11,1,screening,45,17,pre_supplementary_motor_area_left,preSMA,MFC,L,8665,10.989994494665945,,11.350092658088128,1.3374908749371806,5.0652251971715145,1669
11,1,screening,46,18,pre_supplementary_motor_area_left,preSMA,MFC,L,297,0.3766910980860687,653.2294726350003,23.339750517960447,0.9420887129562299,3.7359351360680826,1463
11,1,screening,47,18,pre_supplementary_motor_area_left,preSMA,MFC,L,6750,8.561161320137925,,14.906873363784229,1.411822708501413,5.449710026534394,1505
11,1,screening,48,18,pre_supplementary_motor_area_left,preSMA,MFC,L,944,1.1972942646237337,27.317480635441203,21.010494848426056,2.9848556455583544,10.4962854964041,1436
11,1,screening,49,19,pre_supplementary_motor_area_left,preSMA,MFC,L,3140,3.9825254141086055,19.86304318262923,11.182284970812006,1.6804496499402726,5.99769968389769,1540
11,1,screening,50,19,pre_supplementary_motor_area_left,preSMA,MFC,L,2271,2.880355164153071,37.49272354855024,15.712497571489317,2.4901612992690683,8.547722958442971,1526
11,1,screening,51,19,pre_supplementary_motor_area_left,preSMA,MFC,L,3405,4.3186302659362426,45.49713130104114,11.276220886863848,0.8898088932315567,4.101096311976077,1544
11,1,screening,52,19,pre_supplementary_motor_area_left,preSMA,MFC,L,1031,1.3076381216388446,693.1645146765106,20.402730320751363,0.8659444304076346,3.78714878905541,1527
11,1,screening,53,20,pre_supplementary_motor_area_left,preSMA,MFC,L,2252,2.856257080437127,3420.609440914763,18.394838143033184,1.7860059299145719,6.296928350966461,807
11,1,screening,54,20,pre_supplementary_motor_area_left,preSMA,MFC,L,1177,1.492812870192939,502.59868978221414,18.394838143033184,0.783571895400398,3.532490075253214,812
11,1,screening,55,21,pre_supplementary_motor_area_left,preSMA,MFC,L,2859,3.6261274391517526,252.94763917966011,12.498265144714125,0.7517200916283339,3.659023943825125,2704
11,1,screening,56,21,pre_supplementary_motor_area_left,preSMA,MFC,L,1019,1.2924182792919328,19.14492763351525,12.498265144714125,1.0551856477216621,4.543519874720657,2621
11,1,screening,57,22,dorsal_anterior_cingulate_cortex_left,dACC,MFC,L,2919,3.702226650886312,77.51728929906847,8.024767388563363,1.9290065646163717,7.1800277269864035,994
11,1,screening,58,22,dorsal_anterior_cingulate_cortex_left,dACC,MFC,L,3129,3.9685738919572695,42.99908006255666,8.024767388563363,1.0004624647421871,3.8921314599263033,993
11,1,screening,59,23,dorsal_anterior_cingulate_cortex_left,dACC,MFC,L,5819,7.38035521805668,,0.0,0.742477357265131,4.119176970308952,908
11,1,screening,60,24,dorsal_anterior_cingulate_cortex_left,dACC,MFC,L,1318,1.6716460177691534,,0.0,0.6642901155913354,3.627434552212147,424
11,1,screening,61,25,hippocampus_right,hippocampus,MTL,R,694,0.8802142157297363,60.530153756369565,5.0726407363211585,0.6170234797671067,3.4328912464931363,236
11,1,screening,62,25,hippocampus_right,hippocampus,MTL,R,633,0.802846683799601,42.66140114377444,5.0726407363211585,0.6485433718506102,3.4062246643047835,270
11,1,screening,63,26,hippocampus_right,hippocampus,MTL,R,597,0.7571871567588654,34.88530099212258,5.330797065680112,0.6414527213906295,3.4587107482715957,416
11,1,screening,64,26,hippocampus_right,hippocampus,MTL,R,722,0.915727181205864,56.84557439955533,5.330797065680112,0.6602788254282826,3.4666162418885533,409
11,1,screening,65,27,hippocampus_right,hippocampus,MTL,R,780,0.9892897525492714,41.03150499619443,6.014270321038909,0.6433133816459573,3.37552970983362,321
11,1,screening,66,27,hippocampus_right,hippocampus,MTL,R,917,1.1630496193431819,59.112225239957475,6.014270321038909,0.6922870523416276,3.3830074445408966,313
11,1,screening,67,28,hippocampus_right,hippocampus,MTL,R,1072,1.3596392496574603,,0.0,0.6325543221884318,3.5675194937416634,330
11,1,screening,68,29,hippocampus_right,hippocampus,MTL,R,1298,1.6462796138576337,,0.0,0.7368126694429301,3.60679614746926,462
11,1,screening,69,30,amygdala_right,amygdala,MTL,R,637,0.807919964581905,57.95044070554988,0.0,0.6191866180241292,3.388170385736941,172
11,1,screening,70,31,amygdala_right,amygdala,MTL,R,650,0.8244081271243928,815.9418879377483,0.0,0.6312798824105782,3.4374057295032983,186
11,1,screening,71,32,amygdala_right,amygdala,MTL,R,740,0.9385569447262319,57.65012126395563,0.0,0.619016388330981,3.463159800861868,196
11,1,screening,72,33,pre_supplementary_motor_area_right,preSMA,MFC,R,5249,6.657412706578366,,9.601977026653385,1.455926239006789,5.1299217079869255,1367
11,1,screening,73,33,pre_supplementary_motor_area_right,preSMA,MFC,R,188,0.23844419676828593,7.082225147510711,9.05538664334609,0.8762805868182619,3.9107091506831657,1268
11,1,screening,74,33,pre_supplementary_motor_area_right,preSMA,MFC,R,180,0.22829763520367802,40.25367962656056,10.372528853704107,1.6036915781667385,3.867690648172627,1234
11,1,screening,75,34,pre_supplementary_motor_area_right,preSMA,MFC,R,1448,1.836527643194032,503.47137760464307,0.0,0.8416229109028461,3.937128207738129,1003
11,1,screening,76,35,pre_supplementary_motor_area_right,preSMA,MFC,R,664,0.8421646098624567,326.14914683823594,0.0,0.6809634902552251,3.398682245117631,959
11,1,screening,77,36,pre_supplementary_motor_area_right,preSMA,MFC,R,704,0.8928974176854962,32.37628780871978,0.0,0.6642248413853269,3.404731539955904,693
11,1,screening,78,37,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,9044,11.470687848789245,,5.516310819694813,1.9410355651692448,6.394263533817203,1462
11,1,screening,79,37,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,7131,9.044391314652378,20.147148307647967,5.516310819694813,1.249631510405877,4.474729510366485,1490
11,1,screening,80,38,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,1333,1.6906708207027934,13.873417033682689,7.548698367983871,2.2423916585255848,6.56118512980673,1517
11,1,screening,81,38,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,11843,15.020716076206437,,7.548698367983871,1.342537038672071,4.775013599765519,1539
11,1,screening,82,39,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,5974,7.5769448483709585,34.88762194562718,8.642008421546794,2.4923982053698452,9.722457844586422,900
11,1,screening,83,39,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,9564,12.130214350488759,,8.642008421546794,1.9387816068603896,7.3338379227106385,935
11,1,screening,84,40,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,1265,1.6044250474036261,17.917815339061807,9.807409765224383,1.7317080150569528,7.1952887128464145,1038
11,1,screening,85,40,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,1573,1.9950676676410306,38.26494813483115,10.529145257015486,0.9144068379742425,3.266031551921783,1200
11,1,screening,86,40,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,3518,4.46195044803633,81.36034317582595,7.43628216687458,1.063740517913395,4.032081065750119,1206
11,1,screening,87,41,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,17219,21.839205447622955,,0.0,1.3384943498298305,5.4587225203638985,2611
11,1,screening,88,42,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,2399,3.0427001491867975,40.694226383212744,0.0,0.9952837563212148,3.7492601501328386,1323
11,1,screening,89,43,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,4062,5.151916634429667,42.37738046390707,6.760549017606008,1.190016864157459,4.445964811622678,1175
11,1,screening,90,43,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,4270,5.415727235109473,57.56086405428901,6.760549017606008,2.1621073083460005,7.153166913156827,1129
11,1,screening,91,44,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,8453,10.721110613203836,,8.420405974755738,2.1203119760811417,7.315156703348229,1277
11,1,screening,92,44,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,1609,2.040727194681766,13.305224130088593,6.125912915669759,1.0499724712401075,4.812495325339027,1240
11,1,screening,93,44,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,2979,3.7783258626208713,15.337073317566349,6.03279516879237,1.3046149726643554,6.069602165936425,1255
11,2,sternberg,0,0,dorsal_anterior_cingulate_cortex_left,dACC,MFC,L,282,0.23546406887320007,13.2239753776656,12.862962997902887,3.197812342609354,12.5785462600886,1451
11,2,sternberg,1,0,dorsal_anterior_cingulate_cortex_left,dACC,MFC,L,1479,1.234933893132847,15.15085201368822,8.40168830086616,2.0007281797283536,7.673922726717904,1372
11,2,sternberg,2,0,dorsal_anterior_cingulate_cortex_left,dACC,MFC,L,2010,1.678307724947277,11.476780740982424,11.612460941758183,1.2000164669080724,5.152823466920711,1439
11,2,sternberg,3,1,dorsal_anterior_cingulate_cortex_left,dACC,MFC,L,2201,1.8377887077656503,,0.0,0.6692197692941657,3.716603066710997,816
11,2,sternberg,4,2,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,7821,6.530370505876943,,19.938178924331414,3.353674152243007,14.142229804422183,1454
11,2,sternberg,5,2,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,2930,2.4464883751719015,140.7256679138196,19.938178924331414,1.2894333680798122,5.23398063606125,1424
11,2,sternberg,6,3,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,18007,15.035466270211751,,6.661911929896105,1.4325328228157344,5.5387304760574425,2800
11,2,sternberg,7,3,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,2378,1.9855799850371267,15.09655473737572,6.661911929896105,2.2671325704956056,7.776826136653703,2785
11,2,sternberg,8,4,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,513,0.4283442103969916,6.778650609075151,7.431596655172273,2.407873724909448,9.060969945059565,3143
11,2,sternberg,9,4,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,1622,1.354335885504718,6.233589668364924,5.83314177161691,1.7879528156843312,6.553754696351451,3183
11,2,sternberg,10,4,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,31383,26.20414494130368,,6.1325207477906005,1.424726599920274,5.698839517193101,3220
