model,layer,view,metric,count,mean,sem,p
vgg16,conv5_3,gap,correlation,19,0.04132185397485616,0.017773618872940263,0.03197263232148549
vgg16,conv5_3,gap,euclidean,19,0.020052149377632767,0.008857086750933826,0.03616511625566475
vgg16,conv5_3,rp,correlation,19,0.04714840123066094,0.016965427439727045,0.012378735141957399
vgg16,conv5_3,rp,euclidean,19,0.009613961328195279,0.0049046574698023305,0.06564269327397887
vgg16,fc6,gap,correlation,19,0.040602241273075414,0.01676476982965122,0.026220768419198827
vgg16,fc6,gap,euclidean,19,0.016472106945729436,0.006818370404849801,0.02654848966078668
vgg16,fc6,rp,correlation,19,0.03657440208650348,0.012784493258960963,0.010386525849500861
vgg16,fc6,rp,euclidean,19,0.016730795020260408,0.006846383089882236,0.0250652918342435
vgg16,fc7,gap,correlation,19,0.04495609064780938,0.01840062140259022,0.025094224123149586
vgg16,fc7,gap,euclidean,19,0.023846842123730255,0.007252077748046574,0.004085650006660526
vgg16,fc7,rp,correlation,19,0.041799667285190995,0.018022286195210555,0.03233602003903889
vgg16,fc7,rp,euclidean,19,0.02481853363222508,0.00760348065352797,0.004309391206321792
vgg16,logits,gap,correlation,19,0.04803980142964128,0.01690950688985323,0.010839699964903544
vgg16,logits,gap,euclidean,19,0.04030922834636404,0.012015280806267209,0.003527049862487253
vgg16,logits,rp,correlation,19,0.04803980142964128,0.01690950688985323,0.010839699964903544
vgg16,logits,rp,euclidean,19,0.04030922834636404,0.012015280806267209,0.003527049862487253
