group,model,layer,view,n,rho_mean,rho_sem,rho_null_mean,p_vs_zero,p_vs_null_anchor,frac_pos
MTL concept,convnext_tiny,stage3,gap,134.0,0.036553659216544826,0.015691019020643238,0.01754780229513623,0.062270490597721,0.25044632109277243,0.5895522388059702
MTL concept,convnext_tiny,stage4,gap,134.0,0.13697061013389225,0.017264888616089658,0.006132555451489575,1.3066531417519525e-11,1.8054544869159733e-10,0.7611940298507462
MTL concept,dinov2_small,block11,cls,134.0,0.10594216533589032,0.01528020996697802,0.009555084619661841,5.3738309867116625e-09,3.316518509645795e-09,0.7164179104477612
MTL concept,dinov2_small,block2,cls,134.0,0.10087928315169507,0.015488134756000409,0.011615821424448253,5.009779460186529e-08,9.529150383887381e-08,0.6716417910447762
MTL concept,dinov2_small,block5,cls,134.0,0.12768795718764211,0.018115621606594,0.013544508359436182,1.347036274915334e-09,2.2687523030588895e-09,0.6940298507462687
MTL concept,dinov2_small,block8,cls,134.0,0.15724156141328213,0.02057535880798143,0.011214417803368739,2.823115422560072e-10,4.5850479822979637e-10,0.7089552238805971
MTL concept,dinov2_small,norm,cls,134.0,0.11990507312494374,0.015820483724679264,0.0004163882986426957,2.553089838377641e-10,1.1492921541521046e-10,0.7238805970149254
MTL concept,resnet18,avgpool,gap,134.0,0.14832802116274582,0.01945746116732558,0.008739092371515635,9.086576909585746e-11,1.494764534336891e-10,0.753731343283582
MTL concept,resnet18,layer1,gap,134.0,0.11760268484452395,0.01668114904423719,0.016262444883696377,8.167740186335022e-10,8.883710881806666e-09,0.7089552238805971
MTL concept,resnet18,layer2,gap,134.0,0.1266040630262806,0.01860389992436013,0.013852427115098204,3.5958702413798416e-09,7.2908692230848e-09,0.7164179104477612
MTL concept,resnet18,layer3,gap,134.0,0.16182437962525456,0.021278726448606365,-0.00301186859239746,1.0680797640709893e-10,1.914758200605905e-11,0.746268656716418
MTL concept,resnet18,layer4,gap,134.0,0.14832802116274582,0.01945746116732558,0.0047128948752750924,9.086576909585746e-11,3.454468470645667e-11,0.753731343283582
MTL concept,resnet18,logits,gap,134.0,0.14669977224886369,0.020602708636453283,0.008255395769368234,1.8996410072899375e-09,9.006636721742474e-10,0.7313432835820896
MTL concept,resnet18,stem,gap,134.0,0.0755361046996368,0.013929457224546372,0.017588759955090832,8.94517362701931e-07,8.975124986660944e-06,0.6865671641791045
MTL concept,resnet50,avgpool,gap,134.0,0.17295460060701734,0.020304698674936457,-0.008908378176099218,6.810335928901611e-13,5.601781175769051e-13,0.7686567164179104
MTL concept,resnet50,layer1,gap,134.0,0.09847257765187332,0.016444748389046457,0.016034562311131897,6.505249493480426e-08,1.933121066922365e-06,0.7089552238805971
MTL concept,resnet50,layer2,gap,134.0,0.12796723457240158,0.017879664181925235,0.013474033589672876,9.261374622439085e-10,6.219981668446684e-09,0.6940298507462687
MTL concept,resnet50,layer3,gap,134.0,0.1564043329442462,0.02112178134800905,0.001692542905316365,4.4567858565267405e-10,1.9693349481392752e-10,0.7313432835820896
MTL concept,resnet50,layer4,gap,134.0,0.17295460060701734,0.020304698674936457,-0.00957795057707513,6.810335928901611e-13,6.592485486235224e-13,0.7686567164179104
MTL concept,resnet50,logits,gap,134.0,0.15397430740950918,0.01963089334420474,-0.0077384227429205445,7.17518867893365e-11,1.0865164825496704e-11,0.7238805970149254
MTL concept,resnet50,stem,gap,134.0,0.058822427314579415,0.014090847899113192,0.015131078062428782,0.0002243725948501246,0.001256572924183138,0.6044776119402985
MTL concept,vgg16,conv1_2,gap,134.0,0.08852633936319215,0.014160857240347132,0.014266303549899315,2.5669759242537776e-08,2.746646965359214e-07,0.7238805970149254
MTL concept,vgg16,conv2_2,gap,134.0,0.10590532827780984,0.016956103050252695,0.00986030937001838,4.4205308923983234e-08,1.2611555025284346e-07,0.6791044776119403
MTL concept,vgg16,conv3_3,gap,134.0,0.13770604076826515,0.01852449072255181,0.016116628655019682,1.3302299112267458e-10,3.4990131624265913e-10,0.7313432835820896
MTL concept,vgg16,conv4_3,gap,134.0,0.15574706571343658,0.02112069217234133,0.004013601522309582,4.852471510346752e-10,4.732046364753132e-11,0.7611940298507462
MTL concept,vgg16,conv5_3,gap,134.0,0.15680477956791802,0.02131878769036813,0.004912372415770445,6.435111619840502e-10,2.445243739468222e-10,0.7164179104477612
MTL concept,vgg16,fc6,gap,134.0,0.14828300324877883,0.02002636773289598,-0.00532110223532233,9.391364917618885e-10,1.9693349481392752e-10,0.7313432835820896
MTL concept,vgg16,fc7,gap,134.0,0.14652328425021943,0.020542847891018925,-0.0010972175516970988,3.5958702413798416e-09,8.637294835374303e-10,0.7313432835820896
MTL concept,vgg16,logits,gap,134.0,0.1421445701574552,0.020545193824505037,0.012159195789206063,7.996221065445862e-09,1.9258215587669105e-09,0.7089552238805971
MTL concept,vit_b_16,block11,cls,134.0,0.11992254072242878,0.01608902094810127,0.004249720433507017,2.66557669621276e-10,3.8115392728938657e-10,0.7238805970149254
MTL concept,vit_b_16,block2,cls,134.0,0.11549213674479247,0.0173066237696447,0.008749482613203028,3.5958702413798416e-09,9.24061964626126e-09,0.7014925373134329
MTL concept,vit_b_16,block5,cls,134.0,0.12757762217348648,0.018702299531063185,0.009642113728076421,2.936696183522199e-09,3.84604667800554e-09,0.6865671641791045
MTL concept,vit_b_16,block8,cls,134.0,0.14220084034180927,0.01963491892954731,0.009849541691506933,1.5892882441286193e-09,3.898076804553541e-09,0.6865671641791045
MTL concept,vit_b_16,ln,cls,134.0,0.11994365516089288,0.017641595152803422,-0.008687505702285091,5.0948171422439574e-09,2.5993595552042464e-09,0.7014925373134329
MTL concept (strict),alexnet,conv1,gap,67.0,0.06813269793655434,0.01809413746410908,0.010563371749228048,0.00022823525776192273,0.0017137658635713868,0.7313432835820896
MTL concept (strict),alexnet,conv2,gap,67.0,0.09467672047644309,0.021477375009070362,0.009756691972826203,8.749181701164018e-05,0.00022823525776192273,0.6865671641791045
MTL concept (strict),alexnet,conv3,gap,67.0,0.10684534449713452,0.02433165343387807,0.006968235871227664,0.0001738723031927797,0.00016540143110946347,0.7164179104477612
MTL concept (strict),alexnet,conv4,gap,67.0,0.06765101764776921,0.0256907275963192,-0.008399261127897684,0.013373251625742261,0.013848147505986723,0.6716417910447762
MTL concept (strict),alexnet,conv5,gap,67.0,0.10104790704244193,0.024238829255469073,-0.005378583794322361,0.00027074418254246667,9.214330678489384e-05,0.6865671641791045
MTL concept (strict),alexnet,fc6,gap,67.0,0.09445874137229424,0.024209584133853924,-0.011375105887467174,0.0009948386564342326,0.00027074418254246667,0.6567164179104478
MTL concept (strict),alexnet,fc7,gap,67.0,0.08936178534869456,0.025529298425604433,-0.014447145503345717,0.0031940610028488472,0.0008898612545649838,0.6417910447761194
MTL concept (strict),alexnet,logits,gap,67.0,0.09008239827716806,0.025965977138622445,-0.006368679795906434,0.0018265433021062245,0.000795232745880836,0.7014925373134329
MTL concept (strict),clip_vitb32,block11,cls,67.0,0.10800801233911415,0.024954836178507633,0.0008872031357518536,0.00016131307557738921,0.00020684409745933856,0.6417910447761194
MTL concept (strict),clip_vitb32,block2,cls,67.0,0.09370360935987299,0.018159337806941706,0.014368315270996019,1.299681223253058e-05,4.4018703119986324e-05,0.7164179104477612
MTL concept (strict),clip_vitb32,block5,cls,67.0,0.08469138892063073,0.024929434325015182,4.653302824878133e-05,0.003676166721673596,0.001323771131135875,0.6417910447761194
MTL concept (strict),clip_vitb32,block8,cls,67.0,0.10996023761527225,0.026045397198107313,-0.009164178770591084,0.0005025722171446947,0.0003055351313228766,0.6716417910447762
MTL concept (strict),clip_vitb32,embed,gap,67.0,0.11301516282809884,0.02557553948529139,0.008129221250867518,0.00015731994925678294,0.000312977758390963,0.6417910447761194
MTL concept (strict),clip_vitb32,ln_post,cls,67.0,0.11981240389340078,0.02564466630483782,0.0015780073088853108,6.562716361720232e-05,5.452487165611066e-05,0.6567164179104478
MTL concept (strict),convnext_tiny,avgpool,gap,67.0,0.10907226013086209,0.020717464023065266,0.013480022075529821,5.268425378061874e-06,1.3372934490865468e-05,0.7313432835820896
MTL concept (strict),convnext_tiny,logits,gap,67.0,0.1123899323750624,0.021077354565001646,-0.007166912402224502,9.472728472743294e-06,4.964128037336028e-06,0.6716417910447762
MTL concept (strict),convnext_tiny,stage1,gap,67.0,0.06055159077141162,0.016332356648566436,0.0031263966734628905,0.000795232745880836,0.0014435966996739406,0.6268656716417911
MTL concept (strict),convnext_tiny,stage2,gap,67.0,0.04247829929495594,0.01880463014292802,0.011766720253863654,0.048388558626783984,0.06720999199386643,0.5970149253731343
