region,concept_cell,model,layer,view,n_units,r_mean,r_median,r_sem,r_norm_mean,frac_pos
MFC,True,vit_b_16,block11,gap,27,-0.022940701314432866,-0.051461711655585524,0.05271963652586483,-0.06215608638467888,0.4074074074074074
MFC,True,vit_b_16,block2,cls,27,-0.040288702601962524,-0.12702018346901703,0.054724351489417865,-0.09128656915572375,0.4074074074074074
MFC,True,vit_b_16,block2,gap,27,-0.051530919305036456,-0.12117494120386525,0.050715410788572904,-0.11121979748805634,0.3333333333333333
MFC,True,vit_b_16,block5,cls,27,-0.08451109612128571,-0.1593475786696637,0.052937246719100266,-0.16579900991068822,0.2962962962962963
MFC,True,vit_b_16,block5,gap,27,-0.023516397380178296,-0.08819147254282672,0.0505773757272331,-0.06476175368084783,0.4074074074074074
MFC,True,vit_b_16,block8,cls,27,-0.009433826382061104,-0.08070648752167485,0.05201877142215722,-0.04383353488814315,0.3333333333333333
MFC,True,vit_b_16,block8,gap,27,0.008508207115467122,-0.030188859992023396,0.0531249578809754,-0.01414435376352421,0.48148148148148145
MFC,True,vit_b_16,ln,cls,27,-0.016418726186544157,-0.050909625002632936,0.04419157471613409,-0.04117470161761104,0.4444444444444444
MFC,True,vit_b_16,ln,gap,27,-0.02180606877263292,-0.06578344893233817,0.05126241073297864,-0.05956618541927657,0.4444444444444444
MFC,True,vit_b_16,logits,gap,27,0.05552421760280405,0.02667334216052926,0.04020304683134327,0.08256310346876913,0.5555555555555556
MTL,False,alexnet,conv1,gap,281,-0.16890045293607095,-0.20668631314182284,0.011160981193237253,-0.6290649181723775,0.17793594306049823
MTL,False,alexnet,conv2,gap,281,-0.15968502517722719,-0.20118013218628886,0.011711440751572606,-0.5944717142026834,0.22419928825622776
MTL,False,alexnet,conv3,gap,281,-0.14173082285230618,-0.15947703246760514,0.011542722441771297,-0.5390289779009366,0.23487544483985764
MTL,False,alexnet,conv4,gap,281,-0.14529655813664263,-0.18100653747303574,0.011745353473280385,-0.5473541961578554,0.18861209964412812
MTL,False,alexnet,conv5,gap,281,-0.1401671080549096,-0.15833255295471704,0.011156445356503135,-0.5299612432965142,0.21708185053380782
MTL,False,alexnet,fc6,gap,281,-0.0431745808293728,-0.03902409116427051,0.010936096342761367,-0.1810325220333731,0.4128113879003559
MTL,False,alexnet,fc7,gap,281,-0.000932631228185327,0.0030318017026249935,0.008032436078389762,-0.016069353674859177,0.501779359430605
MTL,False,alexnet,logits,gap,281,-0.08607913809833029,-0.08168842245693061,0.011648448192146577,-0.34202545010064883,0.3238434163701068
MTL,False,baseline,category,-,281,-0.15805824749109929,-0.20590879470607049,0.011562803905812971,-0.6096360549166462,0.18505338078291814
MTL,False,baseline,lowlevel,-,281,-0.18646237660870846,-0.23653564697328888,0.010630223706251532,-0.6833931874521348,0.1708185053380783
MTL,False,clip_vitb32,block11,cls,281,-0.14289806182965875,-0.15823111788042768,0.011874695469058168,-0.5668348841690509,0.24199288256227758
MTL,False,clip_vitb32,block11,gap,281,-0.14510232068463993,-0.1818334037879305,0.011367129085801906,-0.5682977791940231,0.2313167259786477
MTL,False,clip_vitb32,block2,cls,281,-0.12231581392080271,-0.12455559669023258,0.011393124154546706,-0.4556980327243695,0.24199288256227758
MTL,False,clip_vitb32,block2,gap,281,-0.13874125773564752,-0.17144550535314246,0.011822357238812017,-0.5194617018262432,0.2099644128113879
MTL,False,clip_vitb32,block5,cls,281,-0.13703936183444385,-0.16720630602665243,0.011103156337738274,-0.5288289357693833,0.21708185053380782
MTL,False,clip_vitb32,block5,gap,281,-0.13561543161416886,-0.15246218103382866,0.01130453705665359,-0.5076481948992477,0.21352313167259787
MTL,False,clip_vitb32,block8,cls,281,-0.14073332668883512,-0.15804365299253909,0.01149685226082975,-0.5382439864352845,0.2313167259786477
MTL,False,clip_vitb32,block8,gap,281,-0.1383137325041795,-0.17317983044422863,0.0115755018728639,-0.5354650337065483,0.2277580071174377
MTL,False,clip_vitb32,embed,gap,281,-0.1543978392390991,-0.2022001798006895,0.011921650256428995,-0.6025531264497249,0.23487544483985764
MTL,False,clip_vitb32,ln_post,cls,281,-0.14323991603146843,-0.17017626790130475,0.011879367427011402,-0.5648851186355394,0.2277580071174377
MTL,False,clip_vitb32,ln_post,gap,281,-0.14722844754652217,-0.17604475686994608,0.01131986777339269,-0.5760749740437324,0.22419928825622776
MTL,False,convnext_tiny,avgpool,gap,281,-0.1507911788805149,-0.18170138975596922,0.01066282377334011,-0.5745225603793451,0.199288256227758
MTL,False,convnext_tiny,logits,gap,281,-0.1299481248861068,-0.1470816041041764,0.010890647817601734,-0.49310535859094934,0.2491103202846975
MTL,False,convnext_tiny,stage1,gap,281,-0.15205640083696328,-0.19018875586957967,0.011436306452841468,-0.5706592226754964,0.17793594306049823
MTL,False,convnext_tiny,stage2,gap,281,-0.155175447058913,-0.18100004043633,0.010902246984386403,-0.5735880656002831,0.21352313167259787
MTL,False,convnext_tiny,stage3,gap,281,-0.15194943123876287,-0.1914961335117792,0.011118394555328415,-0.5675676159188308,0.19572953736654805
MTL,False,convnext_tiny,stage4,gap,281,-0.1507911788805149,-0.18170138975596922,0.01066282377334011,-0.5745225603793451,0.199288256227758
MTL,False,dinov2_small,block11,cls,281,-0.1744808672314809,-0.214879058242192,0.010377908657285842,-0.6384586622818202,0.1423487544483986
MTL,False,dinov2_small,block11,gap,281,-0.14159873861244815,-0.18433602935884646,0.01151685919003519,-0.5457443327565302,0.2099644128113879
