group,subject,unit,area,model,layer,view,rho,rho_null
MTL non-concept,9,24,amygdala,alexnet,conv1,gap,-0.05999931217888495,-0.13853247403897273
MTL non-concept,9,26,amygdala,alexnet,conv1,gap,0.03167322684168048,-0.11709896026740788
MTL non-concept,9,27,amygdala,alexnet,conv1,gap,-0.03825403537965322,-0.023945824767477152
MTL non-concept,9,28,hippocampus,alexnet,conv1,gap,0.23128240408067355,-0.05331743372256144
MTL non-concept,9,29,hippocampus,alexnet,conv1,gap,-0.1535446310606916,-0.09214721749695558
MTL non-concept,9,30,hippocampus,alexnet,conv1,gap,-0.04572637860722023,0.08111957201316472
MTL non-concept,9,31,hippocampus,alexnet,conv1,gap,-0.021094885242934312,0.03410230683522077
MTL non-concept,9,52,amygdala,alexnet,conv1,gap,-0.40032730725033155,-0.2748734829579891
MTL non-concept,10,22,amygdala,alexnet,conv1,gap,0.053153359297274265,0.20078733686972583
MTL non-concept,10,23,amygdala,alexnet,conv1,gap,-0.026795602233081497,-0.221487275659792
MTL non-concept,10,24,amygdala,alexnet,conv1,gap,-0.06866838085278318,-0.05687412492669913
MTL non-concept,10,25,amygdala,alexnet,conv1,gap,0.021925626973046716,0.1109868479045894
MTL non-concept,10,26,amygdala,alexnet,conv1,gap,-0.04133424619786974,0.08885542819380943
MTL non-concept,10,27,amygdala,alexnet,conv1,gap,-0.08276282926281672,0.17007470877259756
MTL non-concept,10,28,amygdala,alexnet,conv1,gap,-0.19686547528090143,0.02333293546962844
MTL non-concept,10,29,amygdala,alexnet,conv1,gap,-0.1526469484833216,-0.0350632768550906
MTL non-concept,10,30,amygdala,alexnet,conv1,gap,-0.10836276476738622,-0.09917578467007471
MTL non-concept,10,31,amygdala,alexnet,conv1,gap,0.02936466487483865,-0.02784515552587748
MTL non-concept,10,32,amygdala,alexnet,conv1,gap,0.07716137974922697,0.026741458792269433
MTL non-concept,10,33,amygdala,alexnet,conv1,gap,0.07131788701892831,-0.20672412195237294
MTL non-concept,10,34,hippocampus,alexnet,conv1,gap,-0.027720384399623495,-0.1110789385618191
MTL non-concept,10,35,hippocampus,alexnet,conv1,gap,-0.05262062311975934,-0.016959119091474024
MTL non-concept,10,36,hippocampus,alexnet,conv1,gap,-0.014817882826225794,-0.015474681285493647
MTL non-concept,10,37,hippocampus,alexnet,conv1,gap,-0.044548523941034944,-0.30367232043467307
MTL non-concept,10,38,hippocampus,alexnet,conv1,gap,-0.09188601272364559,0.043458578073796696
MTL non-concept,10,39,hippocampus,alexnet,conv1,gap,-0.091338541324357,-0.045770308647011516
MTL non-concept,10,40,hippocampus,alexnet,conv1,gap,-0.0504161383019029,0.08336148224450023
