subject,unit,area,region,concept_cell,mean_rate,reliability,model,layer,view,r,r_norm
17,3,amygdala,MTL,False,3.9384920634920624,-0.6572892320569931,alexnet,fc6,gap,-0.11507068771116485,-0.5146117598796286
17,4,preSMA,MFC,True,1.1375661375661377,0.2564432108587692,alexnet,fc6,gap,-0.21365102597069202,-0.42189985848634415
17,5,preSMA,MFC,False,0.4497354497354497,0.07323345733132325,alexnet,fc6,gap,-0.09816578576583777,-0.36274829385704055
17,6,preSMA,MFC,False,0.46296296296296297,0.11011651583182704,alexnet,fc6,gap,-0.13380681855396614,-0.40322923705352764
17,7,amygdala,MTL,False,1.3558201058201056,0.05351716891258881,alexnet,fc6,gap,0.015099404303415748,0.0652699452675206
17,0,dACC,MFC,False,4.394841269841271,-0.9864767670682419,alexnet,fc7,gap,-0.03727339093025749,-0.16669167174395977
17,1,dACC,MFC,False,3.5251322751322753,-0.1628416929600158,alexnet,fc7,gap,-0.22739908317854837,-1.0169596160167262
17,2,dACC,MFC,False,2.1560846560846563,-0.054475098212150595,alexnet,fc7,gap,-0.004240051599537983,-0.018962087209347295
17,3,amygdala,MTL,False,3.9384920634920624,-0.6572892320569931,alexnet,fc7,gap,0.01734760542730507,0.07758084996459684
17,4,preSMA,MFC,True,1.1375661375661377,0.2564432108587692,alexnet,fc7,gap,0.053451806642929534,0.10555207753406678
17,5,preSMA,MFC,False,0.4497354497354497,0.07323345733132325,alexnet,fc7,gap,-0.024609017717667707,-0.09093676703078198
17,6,preSMA,MFC,False,0.46296296296296297,0.11011651583182704,alexnet,fc7,gap,-0.13895173449404938,-0.41873353310991723
17,7,amygdala,MTL,False,1.3558201058201056,0.05351716891258881,alexnet,fc7,gap,0.05875770405085644,0.25399095556220086
17,0,dACC,MFC,False,4.394841269841271,-0.9864767670682419,alexnet,logits,gap,0.056271460996512396,0.25165362396285956
17,1,dACC,MFC,False,3.5251322751322753,-0.1628416929600158,alexnet,logits,gap,-0.35124920976994495,-1.5708342201773604
17,2,dACC,MFC,False,2.1560846560846563,-0.054475098212150595,alexnet,logits,gap,0.014680441399076205,0.06565292981607303
17,3,amygdala,MTL,False,3.9384920634920624,-0.6572892320569931,alexnet,logits,gap,-0.1555651015321078,-0.6957082839048995
17,4,preSMA,MFC,True,1.1375661375661377,0.2564432108587692,alexnet,logits,gap,-0.07725238879241804,-0.15255144107627258
