subject,region,n_units,n_images,model,layer,view,rho,reliability,rho_norm
20,MFC,6,63,alexnet,conv1,gap,0.00521309803916717,0.02462067167565151,0.03322354298692164
20,MFC,6,63,alexnet,conv2,gap,0.011070561830721333,0.02462067167565151,0.07055368690727777
20,MFC,6,63,alexnet,conv3,gap,-0.005650468313194355,0.02462067167565151,-0.0360109431069979
20,MFC,6,63,alexnet,conv4,gap,-0.007382586887292418,0.02462067167565151,-0.047049890671886974
20,MFC,6,63,alexnet,conv5,gap,-0.0021430648874144354,0.02462067167565151,-0.01365794540517612
20,MFC,6,63,alexnet,fc6,gap,-0.0016563198407367336,0.02462067167565151,-0.010555875415226092
20,MFC,6,63,alexnet,fc7,gap,-0.01111550495575157,0.02462067167565151,-0.0708401134880154
20,MFC,6,63,alexnet,logits,gap,-0.02372982342202351,0.02462067167565151,-0.15123230037308275
20,MFC,6,63,vgg16,conv1_2,gap,0.0020385562944062047,0.02462067167565151,0.012991902736071368
20,MFC,6,63,vgg16,conv2_2,gap,0.005878947053155054,0.02462067167565151,0.03746705868005064
20,MFC,6,63,vgg16,conv3_3,gap,0.0005035840188968161,0.02462067167565151,0.003209386275424432
20,MFC,6,63,vgg16,conv4_3,gap,-0.007160759646068228,0.02462067167565151,-0.04563616569892262
20,MFC,6,63,vgg16,conv5_3,gap,-0.014798365220447519,0.02462067167565151,-0.09431131341551552
20,MFC,6,63,vgg16,fc6,gap,-0.0026298727600671252,0.02462067167565151,-0.016760415790719137
20,MFC,6,63,vgg16,fc7,gap,-0.004651971870871447,0.02462067167565151,-0.029647435414535024
20,MFC,6,63,vgg16,logits,gap,-0.0076058591259413255,0.02462067167565151,-0.04847282474349006
20,MFC,6,63,resnet18,stem,gap,0.008434269544748425,0.02462067167565151,0.05375235890019822
20,MFC,6,63,resnet18,layer1,gap,-0.0009466746784927447,0.02462067167565151,-0.006033242927569917
20,MFC,6,63,resnet18,layer2,gap,0.0035144785971169853,0.02462067167565151,0.022398088405524413
20,MFC,6,63,resnet18,layer3,gap,-0.004370469618943644,0.02462067167565151,-0.02785339622755423
