region,ref,t,mean,sem,count,p
MFC,category,0.9,0.001554753341273691,0.0061744001463832155,19,0.8040432881879314
MFC,category,0.925,0.005928242420515489,0.0068608291318790465,19,0.39891748105914426
MFC,category,0.95,0.002300638459813561,0.005361590960683678,19,0.6729449933583793
MFC,category,0.975,0.0008725769217223225,0.005999131244389845,19,0.8859715473771228
MFC,category,1.0,0.00647876529920152,0.005944694220016622,19,0.29015938514298656
MFC,category,1.025,0.0036488694202703943,0.005212040414821071,19,0.49282447142876484
MFC,category,1.05,0.01396527627712502,0.0053946916451052315,19,0.018533957475041413
MFC,category,1.075,0.017362709421576757,0.004566427086518898,19,0.0013048237184845972
MFC,category,1.1,0.012422412911723411,0.0037245596402188147,19,0.0036829221524501163
MFC,category,1.125,0.008626478561854556,0.004542504064298164,19,0.07370506552840102
MFC,category,1.15,0.005571418560865518,0.006333762948365392,19,0.3906481934435294
MFC,category,1.175,0.007384314573248811,0.005924356023149579,19,0.22858321162154965
MFC,category,1.2,0.006690350372035417,0.004297493437347643,19,0.13692480098361168
MFC,clip ln_post,-0.2,-0.0002746245269424929,0.005070790289086741,19,0.9574057560041983
MFC,clip ln_post,-0.175,-0.0029679049064587457,0.004720961715825716,19,0.5374648488714628
MFC,clip ln_post,-0.15,-0.0006212411219349082,0.003636692529020117,19,0.866266264429848
MFC,clip ln_post,-0.125,-0.00017333201548420802,0.003700070517057237,19,0.9631521260954827
MFC,clip ln_post,-0.1,0.0006303370158547894,0.004570957124868902,19,0.8918500264120963
MFC,clip ln_post,-0.075,0.0036619581215029525,0.004433257377702579,19,0.4196073003557701
MFC,clip ln_post,-0.05,0.0042445283084920436,0.005700005611430277,19,0.46609310903652734
MFC,clip ln_post,-0.025,0.007208339892169314,0.006109489124336262,19,0.25341489647054755
MFC,clip ln_post,-0.0,0.005804436857840034,0.006034673869878366,19,0.34887027002113336
MFC,clip ln_post,0.025,0.001541051854720883,0.005186257109464585,19,0.7697603573703464
MFC,clip ln_post,0.05,-0.0004928725651713859,0.004360793371195543,19,0.9112628453041398
MFC,clip ln_post,0.075,0.0014361180278129103,0.00500198645879844,19,0.7773074266318771
MFC,clip ln_post,0.1,-0.001334959928473658,0.0049766483551686,19,0.7915609089831472
MFC,clip ln_post,0.125,-0.006430584175265622,0.003710880867427469,19,0.10021128936774058
MFC,clip ln_post,0.15,-0.005493921414409092,0.0033584482448667883,19,0.11923606402304376
MFC,clip ln_post,0.175,-0.0023622346204316145,0.003912964164137951,19,0.5535793834244831
MFC,clip ln_post,0.2,-0.004631524485626946,0.002839703291959664,19,0.12026524632106005
MFC,clip ln_post,0.225,0.005195364345733492,0.003992461796950842,19,0.20956884861713226
MFC,clip ln_post,0.25,0.006128430901471623,0.003910368093321826,19,0.13447316389315128
MFC,clip ln_post,0.275,0.005140305908814727,0.004370762969118263,19,0.25488917127467964
MFC,clip ln_post,0.3,0.006410589730144307,0.0050143891177349825,19,0.21733399864899977
MFC,clip ln_post,0.325,0.004139185715948847,0.004945329609863671,19,0.41357374412288284
MFC,clip ln_post,0.35,0.009869550587267288,0.005801086437457704,19,0.10609133942844946
MFC,clip ln_post,0.375,0.012914561016931895,0.006320792254146261,19,0.05595550630844024
MFC,clip ln_post,0.4,0.014438563139257227,0.006504713473348034,19,0.03952295246553134
MFC,clip ln_post,0.425,0.012849346918692882,0.005551991112860781,19,0.03266338587596887
MFC,clip ln_post,0.45,0.015118442053383543,0.006606721597592897,19,0.03443028146983156
MFC,clip ln_post,0.475,0.014336790625185687,0.005514174368809032,19,0.018099805059357106
MFC,clip ln_post,0.5,0.014621651096531659,0.0054411671683361725,19,0.015054302589072501
MFC,clip ln_post,0.525,0.009378684140644612,0.00543719643543226,19,0.10167174927402532
MFC,clip ln_post,0.55,0.010081237662926231,0.005893674605175377,19,0.1043498065865647
MFC,clip ln_post,0.575,0.011196841001759902,0.006110412166747511,19,0.08348596709423017
MFC,clip ln_post,0.6,0.012722927265991597,0.005861673772440103,19,0.04358903741044329
MFC,clip ln_post,0.625,0.014650876058551398,0.00699924033277607,19,0.05076080449391759
MFC,clip ln_post,0.65,0.015580390063432014,0.007530057220806391,19,0.05320803529131797
MFC,clip ln_post,0.675,0.01537237139590443,0.007834263717953422,19,0.06538924148240766
MFC,clip ln_post,0.7,0.0173272598333888,0.008753799866872197,19,0.06327398614427865
MFC,clip ln_post,0.725,0.016898137868068368,0.007215220930461844,19,0.030878933162970884
MFC,clip ln_post,0.75,0.017585601874099358,0.009163374880396292,19,0.0709664348472408
MFC,clip ln_post,0.775,0.02281554164083667,0.009777930467915004,19,0.03142673438875098
MFC,clip ln_post,0.8,0.02013502457714451,0.007815031939618642,19,0.019016908808783786
MFC,clip ln_post,0.825,0.015621903207062181,0.006893034704188128,19,0.03599332223989435
MFC,clip ln_post,0.85,0.013490054477627455,0.007490488491953575,19,0.08848800483296428
MFC,clip ln_post,0.875,0.0115706530055743,0.00632291909485139,19,0.08386880910616012
MFC,clip ln_post,0.9,0.00792657700522687,0.006552951206756498,19,0.24207268864422646
MFC,clip ln_post,0.925,0.008577340978011732,0.0065752860594181515,19,0.20850309129346034
MFC,clip ln_post,0.95,-0.0007658097808875506,0.004272752647362417,19,0.8597583811488206
MFC,clip ln_post,0.975,-0.005502448161327214,0.0036260740134615075,19,0.14651599104360888
MFC,clip ln_post,1.0,-0.0015234315595010859,0.004138565159212503,19,0.7170872567303092
MFC,clip ln_post,1.025,0.001981516673749002,0.004769261141533815,19,0.6827038481735341
MFC,clip ln_post,1.05,0.009363478047836148,0.004056654646205448,19,0.03307585357070408
MFC,clip ln_post,1.075,0.009485201325434529,0.004048447743802046,19,0.030821736184612595
MFC,clip ln_post,1.1,0.01074318028416449,0.004276328455095226,19,0.021747025850235024
MFC,clip ln_post,1.125,0.00779900812808101,0.004738109175208677,19,0.11710846492673402
MFC,clip ln_post,1.15,0.006106006529597588,0.005884957560910727,19,0.31321231689416507
MFC,clip ln_post,1.175,0.006996140420561557,0.005176870123244742,19,0.19330152380723972
MFC,clip ln_post,1.2,0.002338293937613892,0.004932195608713843,19,0.641137302498369
MFC,low-level,-0.2,-0.00426531197977929,0.0028303029367781393,19,0.14915608811113457
MFC,low-level,-0.175,-0.002989567413978275,0.0032374752516069953,19,0.3679992028620386
MFC,low-level,-0.15,-0.003249705942368965,0.003246591717251528,19,0.33011353823191414
MFC,low-level,-0.125,-0.0017163377020321807,0.003156971682414362,19,0.5933418297596549
MFC,low-level,-0.1,-0.005285190538068195,0.0029779801417921187,19,0.092851626223286
MFC,low-level,-0.075,-0.006819283320436729,0.0029905474730980487,19,0.0349954357447756
MFC,low-level,-0.05,-0.0026163712143211825,0.0029698065590426604,19,0.3899351394424585
MFC,low-level,-0.025,-0.0006375623523594396,0.003647822489062999,19,0.8632042854966453
MFC,low-level,-0.0,0.0003646563133662441,0.004219261020300467,19,0.9320814667780821
MFC,low-level,0.025,0.0012254570546754804,0.004457234893331233,19,0.7864958647402661
MFC,low-level,0.05,0.00028367129007099786,0.003873717477055494,19,0.9424309324467546
MFC,low-level,0.075,-0.0015098411751784306,0.0033684516674129463,19,0.659335713607391
MFC,low-level,0.1,0.00046735716092782527,0.003305094052813051,19,0.8891204902878616
MFC,low-level,0.125,0.00301448371505854,0.0020049108087308114,19,0.1500403090339618
MFC,low-level,0.15,0.007540805286007172,0.003149285560703244,19,0.027740993926428762
MFC,low-level,0.175,0.0020965731652560133,0.0032108220613728334,19,0.5220285598759467
MFC,low-level,0.2,-0.0001497039886281117,0.0029423346656243733,19,0.959982049177658
MFC,low-level,0.225,-0.0014507243906527545,0.0028034535082994217,19,0.6111239731148593
MFC,low-level,0.25,-0.0037294547835155685,0.003472877053251733,19,0.29706210104148195
MFC,low-level,0.275,-0.00537781998847894,0.0033940723129550084,19,0.13049713917631692
MFC,low-level,0.3,-0.0007524633474186704,0.0039031818575703484,19,0.8492881244331169
MFC,low-level,0.325,0.0010078228145495903,0.0035495135711959016,19,0.7797022241700551
MFC,low-level,0.35,0.002089568685205984,0.0038154812574699615,19,0.590655619989146
MFC,low-level,0.375,0.0006620588935557118,0.0035662019872008052,19,0.8547966686168175
MFC,low-level,0.4,0.004328909587684007,0.0031113104691449537,19,0.18107921546630354
MFC,low-level,0.425,0.0027565604744436817,0.004013401851577064,19,0.5009379637757427
MFC,low-level,0.45,0.005561092121313337,0.00349464817263063,19,0.12894743054663418
MFC,low-level,0.475,0.004549492983692585,0.004571917510263007,19,0.33287981786704246
MFC,low-level,0.5,0.003913949108464508,0.004314333869186077,19,0.37628824849667364
MFC,low-level,0.525,0.0013638656928128261,0.0036635055924998544,19,0.7140281314197081
MFC,low-level,0.55,0.003305378319419056,0.003895960024205776,19,0.4073501100746971
MFC,low-level,0.575,0.00393028795918892,0.004342239685996902,19,0.3773531106698812
MFC,low-level,0.6,0.0002496273229183024,0.003966464403330864,19,0.9505122929303211
MFC,low-level,0.625,-0.0019136634958099058,0.0036090358059592794,19,0.6024245033382664
MFC,low-level,0.65,0.00045998403402557905,0.003559327935090847,19,0.8986060938975191
MFC,low-level,0.675,0.002452735786087746,0.002718316640286268,19,0.37881386198083145
MFC,low-level,0.7,0.00042787364077662577,0.0031459641159183468,19,0.893325156431186
MFC,low-level,0.725,0.0008349306743916713,0.0038503852684458545,19,0.830769129799164
MFC,low-level,0.75,-0.0013597494926715842,0.004780102147579626,19,0.7793042857385147
MFC,low-level,0.775,-0.002562764866060064,0.0041659473446991535,19,0.5461421468757446
MFC,low-level,0.8,-0.002403281575204491,0.003728232162048048,19,0.5273060616631355
MFC,low-level,0.825,-0.004251223830264198,0.0043947621119318995,19,0.34619334895663334
MFC,low-level,0.85,-0.0073684150201111945,0.0036732757850843523,19,0.06012896876285205
MFC,low-level,0.875,-0.004812816643105638,0.003869943234741696,19,0.2295859321095836
MFC,low-level,0.9,-0.00016024081738314072,0.0037931236815589957,19,0.9667684115747475
MFC,low-level,0.925,-0.00023785648646572075,0.004488289445293597,19,0.9583196935041122
MFC,low-level,0.95,-0.00333564842304243,0.004099210642958863,19,0.4264339204262432
MFC,low-level,0.975,0.00302728578868557,0.004047456516383337,19,0.46415243352152624
MFC,low-level,1.0,0.004174312585434309,0.004376228565931041,19,0.3527892847455114
MFC,low-level,1.025,0.00431807028981712,0.003688701312983133,19,0.2570166053049416
MFC,low-level,1.05,0.0037291465998026555,0.004324806242062537,19,0.3998819275899732
MFC,low-level,1.075,0.00438664183935513,0.00421669461262537,19,0.31197162434067033
MFC,low-level,1.1,-0.0013072462042348278,0.0041043702341217,19,0.7537708423075291
MFC,low-level,1.125,-0.0007590806649402177,0.0030553330024265814,19,0.8066029262537903
MFC,low-level,1.15,-0.0013509153496633706,0.0036347713261878313,19,0.7144816624004662
MFC,low-level,1.175,5.4988451803092344e-05,0.0035800750473017713,19,0.9879142773871005
MFC,low-level,1.2,3.335915024168348e-05,0.003267332995460212,19,0.991966128121476
MFC,resnet50 avgpool,-0.2,0.0003520988704967498,0.0039266698061786965,19,0.9295408104081062
MFC,resnet50 avgpool,-0.175,-0.006188560714168658,0.004134976105119731,19,0.15181669391152616
MFC,resnet50 avgpool,-0.15,-0.009667816429386258,0.0034170167511617298,19,0.011115197217608565
MFC,resnet50 avgpool,-0.125,-0.006595691663880722,0.003039811762710854,19,0.04365462819883678
MFC,resnet50 avgpool,-0.1,-0.002683091743403579,0.0034596304729450147,19,0.4480890418592737
MFC,resnet50 avgpool,-0.075,-0.0001793920421214588,0.005157176292165963,19,0.9726340806167644
MFC,resnet50 avgpool,-0.05,0.0022022544913648423,0.004237369247490398,19,0.6095899078249757
MFC,resnet50 avgpool,-0.025,0.0018737944012402364,0.004260399328704772,19,0.6653052093056888
MFC,resnet50 avgpool,-0.0,0.0017191918369519315,0.005048023704916821,19,0.7373718895650081
MFC,resnet50 avgpool,0.025,0.0008761956699100251,0.005931180920839166,19,0.8842004156834171
MFC,resnet50 avgpool,0.05,0.0005332493808903338,0.005750245790385042,19,0.927138405297783
MFC,resnet50 avgpool,0.075,0.0019840241946538495,0.006722514716567952,19,0.7712707616529422
MFC,resnet50 avgpool,0.1,-0.0024374480887307524,0.005953391116824618,19,0.687061031526558
MFC,resnet50 avgpool,0.125,-0.006504503669978389,0.0050114550202640055,19,0.21069871264635556
MFC,resnet50 avgpool,0.15,-0.003979235221389526,0.005072445276954969,19,0.44296054670506624
MFC,resnet50 avgpool,0.175,-0.0015137367246444932,0.0048676941882707875,19,0.7593912537591687
MFC,resnet50 avgpool,0.2,-0.0013371275335541948,0.003958049415946445,19,0.7394031232175945
MFC,resnet50 avgpool,0.225,0.004771325840274284,0.0035751821987594972,19,0.1986550076660503
MFC,resnet50 avgpool,0.25,0.005936407175712254,0.004280429625664275,19,0.18241728966401846
MFC,resnet50 avgpool,0.275,0.007179105450230171,0.0051933511975543675,19,0.18377321240266117
MFC,resnet50 avgpool,0.3,0.010693633553608117,0.0047834339652085955,19,0.038288898002989506
MFC,resnet50 avgpool,0.325,0.010095025339520588,0.005387881109702887,19,0.0773073722310494
MFC,resnet50 avgpool,0.35,0.010675131102779754,0.006138908099322831,19,0.09912079336140037
MFC,resnet50 avgpool,0.375,0.014885524330380937,0.0060762563225398416,19,0.024754432566227415
MFC,resnet50 avgpool,0.4,0.01935463733911711,0.0066085166576856464,19,0.00897030019093198
MFC,resnet50 avgpool,0.425,0.014879802685331378,0.005600830870605425,19,0.016059334343127313
MFC,resnet50 avgpool,0.45,0.01842055444203072,0.006318715507947127,19,0.009236211360869717
MFC,resnet50 avgpool,0.475,0.014111729650237539,0.004788923264325251,19,0.00862731754519733
MFC,resnet50 avgpool,0.5,0.012146894858451168,0.0039003354235105222,19,0.0059886809399285
MFC,resnet50 avgpool,0.525,0.009632441542435541,0.003206227839659105,19,0.007614021700179007
MFC,resnet50 avgpool,0.55,0.011558732666183328,0.003522418239280856,19,0.004147409553147439
MFC,resnet50 avgpool,0.575,0.009803474768594856,0.00377571469867102,19,0.018234727091311985
MFC,resnet50 avgpool,0.6,0.010865262766910654,0.004048083711369994,19,0.015156047129733667
MFC,resnet50 avgpool,0.625,0.010263133570614955,0.005146641905797423,19,0.061510037413868256
MFC,resnet50 avgpool,0.65,0.007977003229455985,0.005832313314725172,19,0.1882332435771828
MFC,resnet50 avgpool,0.675,0.012195877803137066,0.00680704646383513,19,0.09001642265010368
MFC,resnet50 avgpool,0.7,0.014654727901694142,0.008219594501754916,19,0.09147550634972915
MFC,resnet50 avgpool,0.725,0.014325991332349242,0.008465327387599584,19,0.10782370978928393
MFC,resnet50 avgpool,0.75,0.014781896955253422,0.008722281328120066,19,0.10735733491063432
MFC,resnet50 avgpool,0.775,0.01293592129543149,0.009139298090394076,19,0.1740156142812074
MFC,resnet50 avgpool,0.8,0.015696437154765364,0.00747731166627899,19,0.050168118013685876
MFC,resnet50 avgpool,0.825,0.009851611231322936,0.007747964430847841,19,0.21973214306501787
