region,model,layer,view,n_sessions,rho_mean,rho_sem,t,p,rho_norm_mean,frac_sessions_positive
MTL_concept,clip_vitb32,block2,cls,14.0,0.04251760588521465,0.017605626232405962,2.380431157762041,0.033281092493169816,0.12533961704827185,0.8571428571428571
MTL_concept,clip_vitb32,block2,gap,14.0,0.03202926686852547,0.01280365849670532,2.4851248064408775,0.027344796058422372,0.09442055732103025,0.7857142857142857
MTL_concept,clip_vitb32,block5,cls,14.0,0.03767556335497815,0.017421481292531026,2.1421952577727583,0.05168743680681711,0.11106553590386914,0.7142857142857143
MTL_concept,clip_vitb32,block5,gap,14.0,0.0614095824154903,0.02254115460715597,2.66839005917851,0.019323463673824724,0.18103214851352828,0.7142857142857143
MTL_concept,clip_vitb32,block8,cls,14.0,0.07391813621106871,0.0279576411184441,2.5756089264209616,0.02304759605118794,0.21790669283284303,0.7142857142857143
MTL_concept,clip_vitb32,block8,gap,14.0,0.05862177469695345,0.019662390476780315,2.9325694786608185,0.011655703656548288,0.1728138411895231,0.7857142857142857
MTL_concept,clip_vitb32,embed,gap,14.0,0.07272957398445858,0.026540106151959474,2.667146966525482,0.019369252831604372,0.21440287526786672,0.7857142857142857
MTL_concept,clip_vitb32,ln_post,cls,14.0,0.08557280749316938,0.03032871955017395,2.7175439759230384,0.017595180896461712,0.25226403739419273,0.7142857142857143
MTL_concept,clip_vitb32,ln_post,gap,14.0,0.04331332142163448,0.01559902688237513,2.7488591879474735,0.016573933362391255,0.12768534368404424,0.7857142857142857
MTL_concept,convnext_tiny,avgpool,gap,14.0,0.0441822888954883,0.015085689492597691,2.9106056785357626,0.012157847808524719,0.1302470130944594,0.7142857142857143
MTL_concept,convnext_tiny,logits,gap,14.0,0.05993716788577306,0.02174511033197059,2.711960986343215,0.017783610491698625,0.17669154961458491,0.7142857142857143
MTL_concept,convnext_tiny,stage1,gap,14.0,0.026962145834849176,0.012094210763627739,2.2158863193349867,0.04515935633129785,0.0794829568452921,0.6428571428571429
