subject,unit,area,region,n_match,n_lure,probe_pref_match_hz,probe_pref_lure_hz,probe_nonpref_hz,baseline_hz,p_match_vs_lure,rho_sim_nonpref_probe
13,6,amygdala,MTL,12,13,9.479166666666666,10.673076923076923,6.839887640449438,5.298245614035087,0.476259559201769,0.6000000000000001
13,7,amygdala,MTL,9,12,5.138888888888889,6.25,2.6881720430107525,2.7017543859649122,0.262770572256956,-0.39999999999999997
13,12,amygdala,MTL,13,11,0.4807692307692308,0.6818181818181818,0.041666666666666664,0.03508771929824561,0.328529774803183,0.7378647873726218
13,13,amygdala,MTL,10,14,4.625,5.803571428571429,2.5416666666666665,1.2105263157894737,0.55524661098834,-0.7999999999999999
13,14,amygdala,MTL,13,11,0.7692307692307693,1.0227272727272727,0.6111111111111112,0.21052631578947367,0.12442191687225877,-0.39999999999999997
13,16,amygdala,MTL,12,13,10.520833333333334,11.923076923076923,9.592696629213483,6.87719298245614,0.45981469367296035,0.39999999999999997
13,17,amygdala,MTL,13,11,2.5,2.9545454545454546,1.6805555555555556,1.456140350877193,0.20495323802669052,0.7999999999999999
13,18,amygdala,MTL,13,7,0.38461538461538464,0.35714285714285715,0.0797872340425532,0.08771929824561403,0.776550525461449,1.0
13,19,amygdala,MTL,13,11,0.38461538461538464,0.45454545454545453,0.4583333333333333,0.17543859649122806,0.8483752246129395,0.6000000000000001
13,20,amygdala,MTL,13,11,0.19230769230769232,1.1363636363636365,0.16666666666666666,0.03508771929824561,0.012678396026060827,0.6000000000000001
13,21,amygdala,MTL,10,14,20.5,17.857142857142858,14.5,6.649122807017544,0.9065517544471559,1.0
13,22,amygdala,MTL,10,14,4.75,7.142857142857143,0.9583333333333334,1.0,0.2144978169990739,-0.7999999999999999
13,24,amygdala,MTL,13,11,5.1923076923076925,5.454545454545454,0.3055555555555556,0.3684210526315789,0.7667734418883696,0.39999999999999997
13,25,amygdala,MTL,13,11,2.4038461538461537,1.9318181818181819,1.5694444444444444,0.9298245614035088,0.4760637918462589,0.19999999999999998
13,26,amygdala,MTL,12,13,1.0416666666666667,0.7692307692307693,0.056179775280898875,0.05263157894736842,0.425238411892258,0.10540925533894598
13,28,amygdala,MTL,13,11,0.4807692307692308,0.7954545454545454,0.05555555555555555,0.05263157894736842,0.43848674947934685,-0.39999999999999997
13,29,amygdala,MTL,12,13,5.729166666666667,5.480769230769231,3.441011235955056,2.43859649122807,0.9780093876412234,0.39999999999999997
13,30,amygdala,MTL,10,14,2.125,3.125,1.7361111111111112,0.9473684210526315,0.10810561895186947,0.39999999999999997
13,31,hippocampus,MTL,12,13,0.0,0.19230769230769232,0.449438202247191,0.7543859649122807,0.18347730605515133,0.19999999999999998
13,33,hippocampus,MTL,12,13,4.375,5.384615384615385,2.514044943820225,1.9473684210526316,0.5269048320091869,0.39999999999999997
13,34,hippocampus,MTL,13,11,5.961538461538462,3.2954545454545454,2.3194444444444446,5.245614035087719,0.06957466603470887,-1.0
13,35,hippocampus,MTL,9,12,8.61111111111111,5.208333333333333,5.0,7.315789473684211,0.23726549505201677,-0.39999999999999997
13,38,hippocampus,MTL,12,13,1.0416666666666667,2.4038461538461537,1.3623595505617978,1.4912280701754386,0.01967411703738458,-0.39999999999999997
13,45,preSMA,MFC,12,13,1.1458333333333333,1.7307692307692308,1.0814606741573034,1.4736842105263157,0.28351784688052595,-0.7999999999999999
14,11,amygdala,MTL,11,14,2.0454545454545454,2.6785714285714284,0.6377551020408163,0.5528455284552846,0.6314004732791377,-0.19999999999999998
14,12,amygdala,MTL,13,13,7.980769230769231,9.038461538461538,4.729381443298969,4.357723577235772,0.29750726767865765,-0.6000000000000001
14,13,amygdala,MTL,13,13,11.057692307692308,10.961538461538462,0.5025773195876289,1.8373983739837398,0.9381441842282775,-0.7999999999999999
14,14,amygdala,MTL,13,13,3.6538461538461537,4.134615384615385,2.2809278350515463,1.951219512195122,0.9583322217456826,-0.19999999999999998
14,15,amygdala,MTL,13,13,6.153846153846154,7.3076923076923075,1.134020618556701,1.2682926829268293,0.29971289522986977,-1.0
14,16,amygdala,MTL,12,11,9.479166666666666,10.909090909090908,0.6625,1.983739837398374,0.24761906078495666,-0.6000000000000001
14,17,amygdala,MTL,9,14,17.916666666666668,21.696428571428573,5.45,4.4227642276422765,0.17379935448588446,0.6000000000000001
14,18,amygdala,MTL,13,13,3.269230769230769,3.9423076923076925,2.268041237113402,1.5772357723577235,0.533933852552307,-0.7999999999999999
14,19,amygdala,MTL,9,14,1.25,0.8035714285714286,0.2375,0.1951219512195122,0.3230205705646433,-0.39999999999999997
14,20,amygdala,MTL,12,11,3.2291666666666665,4.659090909090909,1.175,1.2195121951219512,0.1346362446005612,0.632455532033676
14,23,amygdala,MTL,9,14,3.3333333333333335,2.5,2.0875,2.3739837398373984,0.4407485653944402,0.6000000000000001
14,24,amygdala,MTL,11,14,1.1363636363636365,1.3392857142857142,0.6377551020408163,0.6341463414634146,0.8153062546762572,-0.19999999999999998
14,25,amygdala,MTL,11,14,3.977272727272727,4.910714285714286,2.2066326530612246,1.5772357723577235,0.2993487061933833,0.0
14,26,amygdala,MTL,11,14,0.6818181818181818,1.4285714285714286,0.49744897959183676,0.4065040650406504,0.3591093967939287,-0.19999999999999998
14,27,amygdala,MTL,11,14,2.9545454545454546,2.232142857142857,1.3903061224489797,1.2845528455284554,0.48491324742429254,0.7999999999999999
14,28,amygdala,MTL,13,13,4.038461538461538,3.3653846153846154,1.2371134020618557,0.8455284552845529,0.5245150404192521,0.7999999999999999
14,34,hippocampus,MTL,9,14,2.2222222222222223,5.892857142857143,0.3,0.3089430894308943,0.019775313205926754,-0.39999999999999997
14,36,hippocampus,MTL,13,13,1.5384615384615385,3.076923076923077,1.172680412371134,1.056910569105691,0.328822760394863,0.19999999999999998
14,38,hippocampus,MTL,13,13,4.230769230769231,5.288461538461538,1.9329896907216495,1.853658536585366,0.7164396179937964,0.0
14,39,hippocampus,MTL,9,14,0.8333333333333334,1.875,1.3125,1.2357723577235773,0.5770861801760251,0.19999999999999998
15,30,hippocampus,MTL,12,11,3.125,4.545454545454546,1.9305555555555556,1.6991150442477876,0.19471398976742016,-0.39999999999999997
15,32,hippocampus,MTL,11,13,6.25,9.134615384615385,6.51685393258427,5.575221238938053,0.0569434916870566,-0.19999999999999998
15,44,preSMA,MFC,14,9,0.8928571428571429,1.5277777777777777,0.8888888888888888,0.9557522123893806,0.6135052661279108,0.7999999999999999
15,47,preSMA,MFC,10,12,1.0,0.625,1.1263736263736264,1.1858407079646018,0.3644886040289672,0.39999999999999997
16,0,amygdala,MTL,11,10,2.3863636363636362,2.75,0.38580246913580246,0.17647058823529413,0.4927888286800096,-0.7999999999999999
16,1,amygdala,MTL,11,10,0.6818181818181818,0.625,0.3549382716049383,0.11764705882352941,1.0,0.19999999999999998
16,5,amygdala,MTL,10,11,8.375,9.318181818181818,6.527777777777778,5.980392156862745,0.5937881001207544,-0.7999999999999999
16,7,amygdala,MTL,10,11,1.125,1.25,0.43209876543209874,0.5882352941176471,0.9403772160354532,0.10540925533894598
16,9,amygdala,MTL,10,11,3.25,3.0681818181818183,2.299382716049383,2.196078431372549,0.5578453907137109,0.39999999999999997
16,11,amygdala,MTL,11,10,1.25,2.375,1.25,1.1372549019607843,0.12850881993036095,0.39999999999999997
16,15,amygdala,MTL,11,10,8.977272727272727,11.5,5.0,4.431372549019608,0.11721212153327513,0.39999999999999997
16,17,amygdala,MTL,10,10,1.5,1.625,1.3719512195121952,1.7058823529411764,0.9057579751696512,-0.19999999999999998
16,18,amygdala,MTL,10,9,7.5,8.055555555555555,5.557228915662651,3.764705882352941,1.0,0.9486832980505139
16,20,amygdala,MTL,11,10,0.7954545454545454,0.375,0.37037037037037035,0.35294117647058826,0.6024664913344515,-0.39999999999999997
16,26,amygdala,MTL,11,10,0.9090909090909091,0.375,0.3549382716049383,0.29411764705882354,0.611239993325567,-0.39999999999999997
16,30,hippocampus,MTL,10,9,42.875,40.416666666666664,37.92168674698795,28.88235294117647,0.682167274039787,-0.19999999999999998
17,4,amygdala,MTL,12,14,3.8541666666666665,2.9464285714285716,3.737864077669903,2.108527131782946,0.2516503067741155,0.19999999999999998
17,7,amygdala,MTL,12,14,22.291666666666668,16.607142857142858,19.92718446601942,16.589147286821706,0.23625062876998482,-0.19999999999999998
17,10,preSMA,MFC,12,13,1.5625,1.3461538461538463,2.199519230769231,3.503875968992248,0.6240034607702682,0.39999999999999997
17,12,preSMA,MFC,12,13,0.625,0.8653846153846154,0.7932692307692307,0.6666666666666666,0.739943530416489,1.0
18,1,dACC,MFC,14,14,4.285714285714286,4.553571428571429,3.711734693877551,2.873015873015873,0.7281275888499832,-0.19999999999999998
18,3,dACC,MFC,14,14,3.0357142857142856,2.857142857142857,2.74234693877551,2.253968253968254,0.7774400404127859,-0.7999999999999999
