subject,region,scope,model,layer,n_images,rho
4,MTL,between-category pairs,clip_vitb32,ln_post,63,0.0018006799683172507
4,MTL,within-category pairs (all cats),clip_vitb32,ln_post,63,0.10825248478382665
4,MTL,within face_person,clip_vitb32,ln_post,28,0.006087453726431071
4,MTL,within animal,clip_vitb32,ln_post,19,0.11435428516571867
4,MTL,within landmark_place,clip_vitb32,ln_post,12,0.10372612462164703
4,MFC,all,alexnet,conv1,63,0.044696378429856846
4,MFC,between-category pairs,alexnet,conv1,63,0.062374965460822815
4,MFC,within-category pairs (all cats),alexnet,conv1,63,-0.020101908895902704
4,MFC,within face_person,alexnet,conv1,28,-0.05516657040631201
4,MFC,within animal,alexnet,conv1,19,0.16585787313701492
4,MFC,within landmark_place,alexnet,conv1,12,-0.01843231395470202
4,MFC,all,alexnet,conv4,63,0.0784303491394723
4,MFC,between-category pairs,alexnet,conv4,63,0.0909594909340526
4,MFC,within-category pairs (all cats),alexnet,conv4,63,0.004049942271917326
4,MFC,within face_person,alexnet,conv4,28,0.04359622019525577
4,MFC,within animal,alexnet,conv4,19,0.17365541075671395
4,MFC,within landmark_place,alexnet,conv4,12,-0.11783738649410294
4,MFC,all,resnet50,layer2,63,0.025301035008643696
4,MFC,between-category pairs,resnet50,layer2,63,0.03163241944740979
4,MFC,within-category pairs (all cats),resnet50,layer2,63,-0.027400719563268228
4,MFC,within face_person,resnet50,layer2,28,-0.006302303727469772
4,MFC,within animal,resnet50,layer2,19,0.1177310581515348
4,MFC,within landmark_place,resnet50,layer2,12,-0.08706815572487217
4,MFC,all,resnet50,avgpool,63,0.04098406728119363
4,MFC,between-category pairs,resnet50,avgpool,63,0.029565986543966655
4,MFC,within-category pairs (all cats),resnet50,avgpool,63,0.0129086493073146
4,MFC,within face_person,resnet50,avgpool,28,0.10316588253081749
4,MFC,within animal,resnet50,avgpool,19,0.12529099767201862
4,MFC,within landmark_place,resnet50,avgpool,12,-0.09003235570399751
4,MFC,all,vit_b_16,ln,63,0.04498537308203253
4,MFC,between-category pairs,vit_b_16,ln,63,0.021541713245236252
4,MFC,within-category pairs (all cats),vit_b_16,ln,63,0.04072708494333981
4,MFC,within face_person,vit_b_16,ln,28,0.006599138889194388
4,MFC,within animal,vit_b_16,ln,19,0.15800753593971248
4,MFC,within landmark_place,vit_b_16,ln,12,-0.1308214173885816
4,MFC,all,dinov2_small,norm,63,0.06066966670684952
4,MFC,between-category pairs,dinov2_small,norm,63,0.06588564451940061
4,MFC,within-category pairs (all cats),dinov2_small,norm,63,0.02249512226075347
4,MFC,within face_person,dinov2_small,norm,28,0.09823677469933496
4,MFC,within animal,dinov2_small,norm,19,0.08363693090455278
4,MFC,within landmark_place,dinov2_small,norm,12,-0.0889468740215009
4,MFC,all,clip_vitb32,ln_post,63,0.04863834590278117
4,MFC,between-category pairs,clip_vitb32,ln_post,63,0.018261385960258038
4,MFC,within-category pairs (all cats),clip_vitb32,ln_post,63,0.10431237547706922
4,MFC,within face_person,clip_vitb32,ln_post,28,0.12992015111931407
4,MFC,within animal,clip_vitb32,ln_post,19,0.06695706434348525
4,MFC,within landmark_place,clip_vitb32,ln_post,12,-0.08147375013046657
4,MTL_concept,all,alexnet,conv1,63,0.08549592582251188
4,MTL_concept,between-category pairs,alexnet,conv1,63,-0.027127992988420852
4,MTL_concept,within-category pairs (all cats),alexnet,conv1,63,0.06529995387944067
4,MTL_concept,within face_person,alexnet,conv1,28,0.08425997116744091
4,MTL_concept,within animal,alexnet,conv1,19,0.13890608875129
4,MTL_concept,within landmark_place,alexnet,conv1,12,0.147187141216992
4,MTL_concept,all,alexnet,conv4,63,0.12955285664617758
4,MTL_concept,between-category pairs,alexnet,conv4,63,0.006470943072039155
4,MTL_concept,within-category pairs (all cats),alexnet,conv4,63,-0.06535695971621928
