subject,unit,area,region,t,mean_rate,r_clip ln_post,r_resnet50 avgpool,r_alexnet conv1,r_category one-hot,base_clip ln_post,base_resnet50 avgpool,base_alexnet conv1,base_category one-hot,rdeb_clip ln_post,rdeb_resnet50 avgpool,rdeb_alexnet conv1,rdeb_category one-hot
11,53,preSMA,MFC,0.25,2.8571428571428568,-0.11445665526198284,-0.054117905721396395,0.19678609353493415,-0.1989220860472588,-0.33588046589992154,-0.14686337925399723,-0.11439390697207188,-0.18954496973558013,0.2214238106379387,0.09274547353260083,0.311180000507006,-0.009377116311678674
11,53,preSMA,MFC,0.3,3.253968253968254,-0.3070117671909133,-0.016902503319905345,-0.18765542601274654,-0.35135956950757125,-0.33588046589992154,-0.14686337925399723,-0.11439390697207188,-0.18954496973558013,0.028868698709008267,0.1299608759340919,-0.07326151904067466,-0.1618145997719911
11,53,preSMA,MFC,0.35,2.9894179894179884,-0.39521997379244167,0.20984211550051513,-0.3382022375928759,-0.13512875389942955,-0.33588046589992154,-0.14686337925399723,-0.11439390697207188,-0.18954496973558013,-0.05933950789252013,0.35670549475451235,-0.223808330620804,0.05441621583615058
11,53,preSMA,MFC,0.4,2.7513227513227503,-0.06218474812384861,0.16901349454827858,-0.12843029544299242,-0.04716013946658905,-0.33588046589992154,-0.14686337925399723,-0.11439390697207188,-0.18954496973558013,0.27369571777607293,0.3158768738022758,-0.014036388470920536,0.14238483026899107
11,53,preSMA,MFC,0.45,2.592592592592592,-0.12442407205369055,-0.031276862304733574,0.1685877461853751,-0.26459638306847355,-0.33588046589992154,-0.14686337925399723,-0.11439390697207188,-0.18954496973558013,0.211456393846231,0.11558651694926365,0.28298165315744694,-0.07505141333289342
11,53,preSMA,MFC,0.5,2.1957671957671954,-0.2257335611412163,-0.09392278178204685,-0.05501470645353638,-0.20613386681707285,-0.33588046589992154,-0.14686337925399723,-0.11439390697207188,-0.18954496973558013,0.11014690475870526,0.052940597471950374,0.059379200518535506,-0.01658889708149272
11,53,preSMA,MFC,0.55,2.3280423280423275,-0.32784199172038814,-0.25612596203167026,-0.08773217763095036,-0.2937055392694157,-0.33588046589992154,-0.14686337925399723,-0.11439390697207188,-0.18954496973558013,0.008038474179533406,-0.10926258277767303,0.02666172934112153,-0.1041605695338356
11,53,preSMA,MFC,0.6,2.5132275132275126,-0.2767013778337795,-0.26223200386427276,-0.3100753027033821,-0.23699007256264054,-0.33588046589992154,-0.14686337925399723,-0.11439390697207188,-0.18954496973558013,0.05917908806614203,-0.11536862461027553,-0.19568139573131024,-0.04744510282706041
11,53,preSMA,MFC,0.65,2.1428571428571423,-0.294940676712413,0.06839011752137865,-0.27879763876867014,-0.17051267857868485,-0.33588046589992154,-0.14686337925399723,-0.11439390697207188,-0.18954496973558013,0.04093978918750857,0.21525349677537586,-0.16440373179659826,0.01903229115689528
11,53,preSMA,MFC,0.7,2.592592592592592,-0.008266335940105663,-0.042646245099013186,-0.051177767216423246,-0.1828953028222676,-0.33588046589992154,-0.14686337925399723,-0.11439390697207188,-0.18954496973558013,0.32761412995981587,0.10421713415498404,0.06321613975564863,0.006649666913312535
11,53,preSMA,MFC,0.75,2.936507936507936,0.04164411777939192,0.025410469550222636,0.10204565547713614,0.06582815847229964,-0.33588046589992154,-0.14686337925399723,-0.11439390697207188,-0.18954496973558013,0.37752458367931346,0.17227384880421986,0.21643956244920803,0.2553731282078798
