subject,unit,area,t,pref_minus_nonpref,rho_alexnet conv1,rho_resnet50 avgpool,rho_clip ln_post
3,39,hippocampus,-0.05,-0.5645161290322582,0.09423091659761118,-0.036702116806575834,0.024232304101415164
3,39,hippocampus,-0.025,2.661290322580645,0.08559739627909521,-0.1376615225044258,-0.08042234758802319
3,39,hippocampus,-0.0,2.5268817204301075,0.2049739044259521,0.10076754732074006,0.13723977230756426
3,39,hippocampus,0.025,0.7526881720430114,0.09629514489418729,0.038194113357379766,0.05480933640477616
3,39,hippocampus,0.05,0.5376344086021514,0.1593985443641692,0.03301620286797036,-0.024360959247602027
3,39,hippocampus,0.075,-2.876344086021505,0.15403872049376094,0.14641225470345612,0.04668562218162293
3,39,hippocampus,0.1,-1.2096774193548383,0.1567013058980615,-0.004499735232337283,-0.05397050854692261
3,39,hippocampus,0.125,-1.1559139784946237,0.19523437286182574,0.1905072108832978,0.12295787441416917
3,39,hippocampus,0.15,-1.1290322580645158,0.1260410776065602,0.11002046216707438,0.016754784395796123
3,39,hippocampus,0.175,-1.0752688172043008,0.01762747877439283,-0.09403910482726748,-0.11803421910606654
3,39,hippocampus,0.2,-1.4247311827956988,-0.04465827865348968,-0.10533584757368672,-0.15390880809299556
3,39,hippocampus,0.225,0.16129032258064546,0.03801060389115496,-0.11004558460774837,-0.15013931361066488
3,39,hippocampus,0.25,2.0430107526881724,0.03175868023888822,-0.05480891845946454,-0.059537835045076044
3,39,hippocampus,0.275,5.268817204301076,0.1306329478939557,0.057787945550863556,0.024065330424820536
3,39,hippocampus,0.3,5.295698924731184,0.04660381663989986,0.0466555124986241,-0.04241645208323665
3,39,hippocampus,0.325,3.521505376344086,0.14523171142390925,-0.01574271359346351,-0.08640367641675614
3,39,hippocampus,0.35,1.5591397849462365,0.12614310735475087,0.042771771128486666,-0.06392492033229688
3,39,hippocampus,0.375,-0.18817204301075252,0.07581846714803475,0.07651122471588481,-0.03835824310873501
3,39,hippocampus,0.4,1.7473118279569895,0.07602629766486915,0.0659836346963003,-0.010582038729029086
3,39,hippocampus,0.425,5.32258064516129,0.01389900465609963,0.07433393601262173,-0.012560581985512258
3,39,hippocampus,0.45,5.188172043010754,0.012441710936904653,0.03717057739534869,-0.004353310866121918
3,39,hippocampus,0.475,3.682795698924732,-0.009507503488242381,-0.11292108651199351,-0.0898017474285626
3,39,hippocampus,0.5,3.736559139784946,0.0938822401361153,0.0005519392617184829,0.03926653604797208
3,39,hippocampus,0.525,0.40322580645161255,-0.11231124896754503,-0.12774530577747284,-0.11733508625131349
3,39,hippocampus,0.55,2.0430107526881724,-0.08084494755571155,-0.061520397188362434,-0.046994385643674905
3,39,hippocampus,0.575,5.349462365591398,-0.124479939625165,0.05684359060415517,0.11744908017572363
3,39,hippocampus,0.6,8.602150537634408,0.007536960297711763,-0.10722685784373436,-0.07751932017543404
3,39,hippocampus,0.625,8.548387096774192,0.16465029518976076,-0.026717422567884026,0.03461179093009808
3,39,hippocampus,0.65,6.908602150537634,0.15873482070241082,-0.0953907885399867,0.0037215588051363
3,39,hippocampus,0.675,5.295698924731184,0.20938558664035534,-0.07510654994697015,0.0031033609179477255
3,39,hippocampus,0.7,0.456989247311828,0.05419603196231391,-0.07865642023779894,0.02713738355885355
3,39,hippocampus,0.725,2.204301075268817,0.23456805598782185,-0.0246900136083291,0.07577636637278805
3,39,hippocampus,0.75,2.365591397849462,0.22017939116654192,-0.036998204410441694,0.007756436983321109
3,39,hippocampus,0.775,0.6451612903225805,0.17515604469127014,-0.08633383031290957,-0.0430097540575842
3,39,hippocampus,0.8,0.4301075268817205,0.08525904979598178,0.03167870291965678,0.045686468135759085
3,39,hippocampus,0.825,2.1236559139784945,-0.028732791132485322,-0.14572561824141514,-0.13301638183676448
3,39,hippocampus,0.85,2.069892473118279,-0.042495022313234466,-0.15901948288799997,-0.06998722882197944
3,39,hippocampus,0.875,3.494623655913978,0.004731489360398743,-0.16940283218214516,-0.10652314844176404
3,39,hippocampus,0.9,3.3602150537634414,0.05263763325520945,-0.13888693816234765,-0.09776298044996479
3,39,hippocampus,0.925,3.4139784946236564,-0.08191330715872087,-0.06035041840493662,-0.08468567856992171
3,39,hippocampus,0.95,3.1720430107526885,0.016288551978044574,-0.019280857852605474,-0.09221506103864212
3,39,hippocampus,0.975,1.827956989247312,0.05651195078752481,-0.003120770407042327,-0.0688129874752833
3,39,hippocampus,1.0,0.053763440860215006,0.09765196606612425,0.0007227742664159342,-0.09819404676593621
3,39,hippocampus,1.025,-1.8010752688172038,0.15642554362194688,0.10868678512398977,0.05407302742487052
3,39,hippocampus,1.05,-1.5591397849462358,0.03796515202157708,0.03644757480662244,0.012680772321570121
