subject,region,n_units,n_images,text_variant,text_centering,image_space,rho_text,rho_img,rho_text_given_img,rho_img_given_text,rho_text_img
2,MTL,11,63,identity+fine,raw,clip_embed,-0.0032468540157166784,0.017856492044478884,-0.006181045405978704,0.018614753300373373,0.1598170254157666
2,MTL,11,63,identity+fine,raw,clip_ln_post,-0.0032468540157166784,0.021462048974258675,-0.0055563199808817704,0.02193036767700059,0.10608672059301641
2,MTL,11,63,identity+fine,raw,resnet50_avgpool,-0.0032468540157166784,0.027346619757636338,-0.001330856575329374,0.027185900705949635,-0.07020163424733397
2,MTL,11,63,identity+fine,centred,clip_embed,0.006752833773776941,0.017856492044478884,-0.0037174473858453236,0.016943483820839884,0.5517700143964084
2,MTL,11,63,identity+fine,centred,clip_ln_post,0.006752833773776941,0.021462048974258675,-0.009648790825190845,0.022541034425204422,0.6544774088372228
2,MTL,11,63,identity+fine,centred,resnet50_avgpool,0.006752833773776941,0.027346619757636338,-0.011508495740248986,0.02888981367297311,0.5873925580963353
2,MTL,11,63,fine-only,raw,clip_embed,0.0041598339565650936,0.017856492044478884,-0.0021218580250652657,0.017494462882836737,0.34449603591789735
2,MTL,11,63,fine-only,raw,clip_ln_post,0.0041598339565650936,0.021462048974258675,-0.006173686702214227,0.021941296896241285,0.4505664568955722
2,MTL,11,63,fine-only,raw,resnet50_avgpool,0.0041598339565650936,0.027346619757636338,-0.0158460032114513,0.03132823671823884,0.6107608926051692
2,MTL,11,63,fine-only,centred,clip_embed,0.0031027219300424785,0.017856492044478884,-0.004359329120613897,0.018117071383886872,0.3977156692962957
2,MTL,11,63,fine-only,centred,clip_ln_post,0.0031027219300424785,0.021462048974258675,-0.008729261451509363,0.02296002273536473,0.49734615215705497
2,MTL,11,63,fine-only,centred,resnet50_avgpool,0.0031027219300424785,0.027346619757636338,-0.013560750644836733,0.030364058354942394,0.5329063742992528
2,MFC,11,63,identity+fine,raw,clip_embed,0.020273581233281247,0.04137343206664054,0.013851143475161993,0.03863783319012296,0.1598170254157666
2,MFC,11,63,identity+fine,raw,clip_ln_post,0.020273581233281247,0.03338285727740139,0.016836444487230918,0.03141580308873848,0.10608672059301641
2,MFC,11,63,identity+fine,raw,resnet50_avgpool,0.020273581233281247,0.04071277344474009,0.023208137669966836,0.04224890957041644,-0.07020163424733397
2,MFC,11,63,identity+fine,centred,clip_embed,0.04295479653752155,0.04137343206664054,0.024152894620802043,0.02120943383595556,0.5517700143964084
2,MFC,11,63,identity+fine,centred,clip_ln_post,0.04295479653752155,0.03338285727740139,0.02793116817463445,0.0069764720835835264,0.6544774088372228
2,MFC,11,63,identity+fine,centred,resnet50_avgpool,0.04295479653752155,0.04071277344474009,0.02354647876059381,0.019147048836087893,0.5873925580963353
2,MFC,11,63,fine-only,raw,clip_embed,0.035318353143799615,0.04137343206664054,0.022458134890998925,0.031130179968285637,0.34449603591789735
2,MFC,11,63,fine-only,raw,clip_ln_post,0.035318353143799615,0.03338285727740139,0.022725989398638343,0.01958066325433944,0.4505664568955722
2,MFC,11,63,fine-only,raw,resnet50_avgpool,0.035318353143799615,0.04071277344474009,0.013211742216357925,0.024189554600800328,0.6107608926051692
2,MFC,11,63,fine-only,centred,clip_embed,0.05821717592071837,0.04137343206664054,0.045556082908616485,0.019891367296014706,0.3977156692962957
