subject,region,t,ref,rho
1,MTL,0.9,alexnet conv4,-0.02138541417215328
1,MTL,0.9,resnet50 avgpool,-0.000621543814242137
1,MTL,0.9,clip ln_post,-0.019354939875606377
1,MTL,0.9,category,0.001627354367420784
1,MTL,0.9,low-level,0.025873630944680745
1,MTL,0.925,alexnet conv1,0.0038761403494392338
1,MTL,0.925,alexnet conv4,-0.01150109534993192
1,MTL,0.925,resnet50 avgpool,0.007552371668312774
1,MTL,0.925,clip ln_post,-0.002480061806325523
1,MTL,0.925,category,-0.0019645539210304966
1,MTL,0.925,low-level,0.014675862623833864
1,MTL,0.95,alexnet conv1,0.0026026675019750556
1,MTL,0.95,alexnet conv4,0.008002888680336724
1,MTL,0.95,resnet50 avgpool,0.006276886778726557
1,MTL,0.95,clip ln_post,-0.00048066220356095317
1,MTL,0.95,category,-0.005353042913554179
1,MTL,0.95,low-level,0.018009270317346827
1,MTL,0.975,alexnet conv1,0.027247638239504577
1,MTL,0.975,alexnet conv4,0.02461675382014791
1,MTL,0.975,resnet50 avgpool,0.025012323878816675
1,MTL,0.975,clip ln_post,0.00018632573258888614
1,MTL,0.975,category,0.01428699847794193
1,MTL,0.975,low-level,0.03226985969020235
1,MTL,1.0,alexnet conv1,0.018663419201685093
1,MTL,1.0,alexnet conv4,0.013628872583432703
1,MTL,1.0,resnet50 avgpool,0.025379670576414083
1,MTL,1.0,clip ln_post,-0.008882408835257458
1,MTL,1.0,category,-0.01302066754563589
1,MTL,1.0,low-level,0.012670418840091
1,MTL,1.025,alexnet conv1,0.0033780286340560814
1,MTL,1.025,alexnet conv4,0.015480710080175743
1,MTL,1.025,resnet50 avgpool,0.02516769412588346
1,MTL,1.025,clip ln_post,-0.004010210980062785
1,MTL,1.025,category,0.011567410773828815
1,MTL,1.025,low-level,-0.004742293069989529
1,MTL,1.05,alexnet conv1,0.007727648083916018
1,MTL,1.05,alexnet conv4,0.01736175682252071
1,MTL,1.05,resnet50 avgpool,0.03213749019367077
1,MTL,1.05,clip ln_post,-0.007048607226103172
1,MTL,1.05,category,0.01893082276515394
1,MTL,1.05,low-level,0.002012913631076648
1,MTL,1.075,alexnet conv1,0.007009745333267248
1,MTL,1.075,alexnet conv4,0.02225020888509038
1,MTL,1.075,resnet50 avgpool,0.04852794133365872
1,MTL,1.075,clip ln_post,0.01999536692263838
1,MTL,1.075,category,0.028647301206668575
1,MTL,1.075,low-level,0.008287704599714516
1,MTL,1.1,alexnet conv1,-0.019783609557558996
1,MTL,1.1,alexnet conv4,0.021486592988487166
1,MTL,1.1,resnet50 avgpool,0.04495132140358924
1,MTL,1.1,clip ln_post,0.03260729155817105
1,MTL,1.1,category,0.04214444638240515
1,MTL,1.1,low-level,-0.008261709144371564
1,MTL,1.125,alexnet conv1,-0.004038376347926462
1,MTL,1.125,alexnet conv4,0.03943834209842675
1,MTL,1.125,resnet50 avgpool,0.05134686067430842
1,MTL,1.125,clip ln_post,0.048568494695052006
1,MTL,1.125,category,0.05289268215371472
1,MTL,1.125,low-level,0.005129334905284334
1,MTL,1.15,alexnet conv1,-0.011682628588274957
1,MTL,1.15,alexnet conv4,0.023307125429539582
1,MTL,1.15,resnet50 avgpool,0.03885439399198617
1,MTL,1.15,clip ln_post,0.023237240392439264
1,MTL,1.15,category,0.04714196367965343
1,MTL,1.15,low-level,-0.005414503616675517
1,MTL,1.175,alexnet conv1,-0.023896840638299537
1,MTL,1.175,alexnet conv4,0.008130800754489057
1,MTL,1.175,resnet50 avgpool,0.0071370855299549485
1,MTL,1.175,clip ln_post,0.01521064215569568
1,MTL,1.175,category,0.006874106117337119
1,MTL,1.175,low-level,-0.005784406848178191
1,MTL,1.2,alexnet conv1,-0.018791735617368757
1,MTL,1.2,alexnet conv4,0.02340227295227466
1,MTL,1.2,resnet50 avgpool,0.012595220980798141
1,MTL,1.2,clip ln_post,0.01813015715875759
1,MTL,1.2,category,0.023105499847343745
1,MTL,1.2,low-level,0.021559701481381078
1,MFC,-0.2,alexnet conv1,0.005630631414322627
1,MFC,-0.2,alexnet conv4,-0.00995132675185173
1,MFC,-0.2,resnet50 avgpool,-0.0026580042985596525
1,MFC,-0.2,clip ln_post,0.01653934547886371
1,MFC,-0.2,category,-0.009687156741200747
1,MFC,-0.2,low-level,-0.015141037419099156
1,MFC,-0.175,alexnet conv1,0.02170682219465526
1,MFC,-0.175,alexnet conv4,-0.011685354269035957
1,MFC,-0.175,resnet50 avgpool,0.007271022454016348
1,MFC,-0.175,clip ln_post,0.018359992295409053
1,MFC,-0.175,category,-0.0022669339555174664
1,MFC,-0.175,low-level,-0.007918948344985972
1,MFC,-0.15,alexnet conv1,0.027655987745854798
1,MFC,-0.15,alexnet conv4,-0.0016486083550376136
1,MFC,-0.15,resnet50 avgpool,0.014073736868630206
1,MFC,-0.15,clip ln_post,0.028352977501444873
1,MFC,-0.15,category,0.004160016232032861
1,MFC,-0.15,low-level,-0.0029445873998492746
1,MFC,-0.125,alexnet conv1,0.03791503451227339
1,MFC,-0.125,alexnet conv4,0.01104895613901534
1,MFC,-0.125,resnet50 avgpool,0.011839807901236897
1,MFC,-0.125,clip ln_post,0.019833224357652415
1,MFC,-0.125,category,0.011607728111760413
1,MFC,-0.125,low-level,-0.0018533275999959484
1,MFC,-0.1,alexnet conv1,0.02484283067475716
1,MFC,-0.1,alexnet conv4,-0.012998036968582144
1,MFC,-0.1,resnet50 avgpool,0.0011448777421991599
1,MFC,-0.1,clip ln_post,0.005295520885583603
1,MFC,-0.1,category,0.001902245307863484
1,MFC,-0.1,low-level,-0.004272064811043825
1,MFC,-0.075,alexnet conv1,0.010450606386000679
1,MFC,-0.075,alexnet conv4,-0.024558873377037535
1,MFC,-0.075,resnet50 avgpool,-0.003387566905797148
1,MFC,-0.075,clip ln_post,-0.015786519540734005
1,MFC,-0.075,category,-0.01271095708607045
1,MFC,-0.075,low-level,-0.010514580948684854
1,MFC,-0.05,alexnet conv1,0.034592418388156375
1,MFC,-0.05,alexnet conv4,-0.007967425833839872
1,MFC,-0.05,resnet50 avgpool,0.002064624241258755
