region,t,predictor,n_cells,r_mean,r_sem,r_debiased_mean,r_debiased_sem,p_debiased_vs0
MFC,0.7,clip ln_post,29,-0.17288765490598668,0.0320685395356019,0.010141728743841262,0.03552768388905892,0.7773929228597946
MFC,0.75,clip ln_post,29,-0.12636901362075587,0.0358965389975366,0.056660370029071976,0.03879319036087935,0.1552632213547276
MFC,0.8,clip ln_post,29,-0.12248611935134669,0.03806542560133256,0.060543264298481184,0.04206292119016863,0.1611381269405943
MFC,0.85,clip ln_post,29,-0.08891858092457082,0.033647321495414106,0.09411080272525706,0.03373472693134197,0.009384293930809813
MFC,0.9,clip ln_post,29,-0.14778192295218998,0.03327016235186138,0.03524746069763792,0.035603201403558465,0.33064882329418066
MFC,0.95,clip ln_post,29,-0.17228408877671544,0.03406456803747059,0.010745294873112425,0.039634411929310304,0.7882949713190088
MFC,1.0,clip ln_post,29,-0.14764104686536617,0.03574629924455937,0.03538833678446171,0.04122398012263791,0.3979385341399365
MFC,1.05,clip ln_post,29,-0.2158758014387884,0.037732456856721344,-0.03284641778896051,0.04029496677291217,0.4218666567509589
MFC,1.1,clip ln_post,29,-0.13035568771003356,0.036348472178899346,0.0526736959397943,0.035113799756034375,0.1447848182609259
MFC,-0.3,resnet50 avgpool,29,-0.09731240099580699,0.02847007656529358,0.015466669514519542,0.023595340015937046,0.5174979892032099
MFC,-0.25,resnet50 avgpool,29,-0.09447497669397364,0.031863759442596035,0.018304093816352868,0.028855955275440437,0.5310167310762534
MFC,-0.2,resnet50 avgpool,29,-0.12847642229248074,0.03050624653408328,-0.01569735178215421,0.022569827891294938,0.49247349816352726
MFC,-0.15,resnet50 avgpool,29,-0.131039396477406,0.030303733068907393,-0.018260325967079463,0.02687195553861635,0.5023810016759134
MFC,-0.1,resnet50 avgpool,29,-0.11259215609196525,0.03150794884927769,0.00018691441836126918,0.026730352232451914,0.9944703491312467
MFC,-0.05,resnet50 avgpool,29,-0.08787453203983736,0.03382518685059271,0.02490453847048916,0.03092340188403458,0.42739728379179165
MFC,-0.0,resnet50 avgpool,29,-0.03137142129224212,0.02801447455085036,0.0814076492180844,0.03398911330663835,0.02354734711614282
MFC,0.05,resnet50 avgpool,29,-0.10385766618446482,0.02732254039937536,0.00892140432586173,0.025598119253281582,0.7300582132578836
MFC,0.1,resnet50 avgpool,29,-0.07135228080394446,0.03323318864469009,0.041426789706382076,0.03451075497992691,0.24004087874198268
MFC,0.15,resnet50 avgpool,28,-0.0714253783484579,0.0333581267240292,0.03741611131698118,0.03669873871476333,0.31699223672899524
MFC,0.2,resnet50 avgpool,28,-0.06851485586616708,0.03643429578520785,0.04032663379927203,0.0404388324364088,0.327508952771276
MFC,0.25,resnet50 avgpool,29,-0.055794133633161914,0.032305533185577294,0.05698493687716461,0.03657409712974061,0.13044945987502685
MFC,0.3,resnet50 avgpool,29,-0.030860394373560945,0.027463633917573345,0.0819186761367656,0.03587873416406796,0.03021019828404206
MFC,0.35,resnet50 avgpool,29,-0.017116384084527318,0.034172538807308216,0.09566268642579921,0.03783241342390239,0.01736953261725425
MFC,0.4,resnet50 avgpool,29,-0.07657272616457483,0.03439665993014488,0.03620634434575167,0.03646899844364829,0.32931112056324574
MFC,0.45,resnet50 avgpool,29,-0.07329469259065863,0.03564720605400117,0.03948437791966791,0.041856249664325246,0.3535796812168922
MFC,0.5,resnet50 avgpool,29,-0.11004198010563662,0.042262169143778505,0.0027370904046899016,0.04744695513546592,0.9544073708436827
MFC,0.55,resnet50 avgpool,29,-0.059590379525891385,0.03464838038234625,0.05318869098443515,0.04308157078689693,0.22723897419584754
MFC,0.6,resnet50 avgpool,29,-0.10874063541730278,0.028168895323428266,0.004038435093023781,0.03740741904181883,0.914798804946333
MFC,0.65,resnet50 avgpool,29,-0.10539620617745378,0.025200507132306503,0.00738286433287273,0.03205023408880671,0.8194922875171939
MFC,0.7,resnet50 avgpool,29,-0.1034803110624415,0.02773946735384048,0.00929875944788504,0.03075466185127242,0.7646177550462042
MFC,0.75,resnet50 avgpool,29,-0.11080772205451205,0.02910438981518426,0.0019713484558144916,0.0347385359959201,0.9551488296035574
MFC,0.8,resnet50 avgpool,29,-0.09655417270322071,0.03399945857219752,0.01622489780710583,0.03507559354956618,0.6472477528490431
MFC,0.85,resnet50 avgpool,29,-0.08795848069011436,0.029393311951258,0.024820589820212145,0.03342628446667169,0.463940339121386
MFC,0.9,resnet50 avgpool,29,-0.12922694608558633,0.026640346732195484,-0.01644787557525979,0.032863299938583,0.6206388638042311
MFC,0.95,resnet50 avgpool,29,-0.0854300719245457,0.027613706139907955,0.027348998585780823,0.03046528193056296,0.37699461904033915
MFC,1.0,resnet50 avgpool,29,-0.05172538265308515,0.03259548079461174,0.061053687857241384,0.04015339774326155,0.1395959218818106
MFC,1.05,resnet50 avgpool,29,-0.12136583756418926,0.030719907337589197,-0.008586767053862729,0.035503485045155846,0.810653565290914
MFC,1.1,resnet50 avgpool,29,-0.06487074497276163,0.026742932486609684,0.04790832553756489,0.03426943505790406,0.17309341822040059
MTL,-0.3,alexnet conv1,133,-0.20006989633153685,0.013779766284487887,-0.0018903314982672281,0.011979862114066965,0.8748614935489132
MTL,-0.25,alexnet conv1,133,-0.20824439673910972,0.013851259416024386,-0.010064831905840147,0.012353022252112569,0.41667338938755993
MTL,-0.2,alexnet conv1,134,-0.1980409031754084,0.013415763852691411,4.367147716189343e-06,0.011143297183313222,0.9996878898561012
MTL,-0.15,alexnet conv1,134,-0.19274183937112638,0.01467526610737613,0.005303430951998223,0.012710363836108126,0.6771664834811839
MTL,-0.1,alexnet conv1,134,-0.19148712265607568,0.01519507506785882,0.006558147667048896,0.012806725731175706,0.6094399592910222
MTL,-0.05,alexnet conv1,134,-0.18812401528720635,0.017140480247233063,0.009921255035918255,0.017535343177165444,0.5724924553653563
MTL,-0.0,alexnet conv1,134,-0.20800775178506273,0.015397196332355026,-0.00996248146193814,0.01553512671726944,0.522439522712077
MTL,0.05,alexnet conv1,134,-0.21954994408535722,0.014085699601374436,-0.021504673762232612,0.015304100814247436,0.16230587941070732
MTL,0.1,alexnet conv1,133,-0.20232791131904476,0.012312016622035439,-0.00414834648577517,0.013874861417800527,0.7654232810471214
MTL,0.15,alexnet conv1,133,-0.18083572074144413,0.012978811611520437,0.017343844091825482,0.014944472151552986,0.2479185705089748
MTL,0.2,alexnet conv1,134,-0.1910019278934986,0.014178866747799213,0.007043342429625982,0.016325393565528055,0.6668507926252194
MTL,0.25,alexnet conv1,134,-0.11310075206210561,0.01834031054201625,0.08494451826101898,0.020317533650198408,5.233646044949707e-05
MTL,0.3,alexnet conv1,134,-0.09055977771437895,0.02248777571672117,0.10748549260874564,0.02411724403409653,1.7497206381227194e-05
MTL,0.35,alexnet conv1,134,-0.07816908959197057,0.021501303554315575,0.11987618073115403,0.022356723660873882,3.5346866686638583e-07
MTL,0.4,alexnet conv1,134,-0.0850237309111242,0.02023728248348199,0.11302153941200038,0.021199982703822534,4.0649797415351954e-07
MTL,0.45,alexnet conv1,134,-0.1086086570513812,0.01861070021047926,0.08943661327174342,0.019862681538825047,1.4513379428555249e-05
MTL,0.5,alexnet conv1,134,-0.15714948737877205,0.017475171761862095,0.040895782944352546,0.01798395897469668,0.024566752744133957
MTL,0.55,alexnet conv1,134,-0.16625944278402727,0.014788747081731939,0.03178582753909734,0.015657702295280566,0.044346198471256135
MTL,0.6,alexnet conv1,134,-0.1813321469829489,0.01601523402653524,0.01671312334017571,0.017642195619152586,0.34518459963321224
MTL,0.65,alexnet conv1,134,-0.13261347317858554,0.01954295820774276,0.06543179714453908,0.02128028868269807,0.002557239721721293
MTL,0.7,alexnet conv1,134,-0.1513050586341713,0.015928164526749174,0.04674021168895329,0.017705518994187992,0.00928547387165636
MTL,0.75,alexnet conv1,134,-0.1596117262386394,0.017837173447231527,0.03843354408448519,0.018882680935095642,0.04379844282325853
MTL,0.8,alexnet conv1,134,-0.14492193145739451,0.01769103239132758,0.05312333886573008,0.01934020781781031,0.0068527452579033215
MTL,0.85,alexnet conv1,134,-0.18044434910241033,0.01480909056364537,0.017600921220714248,0.016846456807252295,0.29801766550815595
MTL,0.9,alexnet conv1,134,-0.17109489985320472,0.013674177231446807,0.026950370469919868,0.01566328465892004,0.08764762164180886
MTL,0.95,alexnet conv1,134,-0.18668411659312767,0.015173172889992762,0.011361153729996932,0.016758795791034543,0.49899894195095185
MTL,1.0,alexnet conv1,134,-0.176257836969721,0.015278571133463478,0.021787433353403572,0.01765732322355538,0.21941483755739605
MTL,1.05,alexnet conv1,134,-0.13808359019342414,0.013556352271800323,0.059961680129700434,0.016294337793455866,0.00033787085883766596
MTL,1.1,alexnet conv1,133,-0.14076866979675606,0.013963601099798254,0.0574108950365135,0.01582484009277756,0.00040716789731859475
MTL,-0.3,category one-hot,133,-0.19425894044208247,0.014970736801831813,0.005213731227144976,0.012929361621301025,0.6874186664833569
MTL,-0.25,category one-hot,133,-0.19699880367645384,0.0143998296667928,0.002473867992773604,0.011083425963051924,0.8237215736273664
MTL,-0.2,category one-hot,134,-0.19684096508719523,0.014427106359878098,0.0028587576155343296,0.011757812942986843,0.8082739738866616
MTL,-0.15,category one-hot,134,-0.20911576102918533,0.014240938041930794,-0.009416038326455808,0.011687127051269857,0.42186777654100593
MTL,-0.1,category one-hot,134,-0.2007726710682944,0.015007405562445534,-0.001072948365564871,0.01289892649563576,0.9338325138267882
MTL,-0.05,category one-hot,134,-0.20280875599000464,0.014899437754286132,-0.003109033287275109,0.01585262571562585,0.8448147784353237
MTL,-0.0,category one-hot,134,-0.22140077648724718,0.012875732289014332,-0.021701053784517598,0.014280977221357462,0.1309908586662125
MTL,0.05,category one-hot,134,-0.23820759660698476,0.011982982359537863,-0.038507873904255155,0.015219998545114704,0.012569742859342991
MTL,0.1,category one-hot,133,-0.19704713750678785,0.012073016595524507,0.0024255341624396316,0.015015552510237586,0.871919195284232
MTL,0.15,category one-hot,133,-0.19764426689384232,0.013766763592339389,0.001828404775385109,0.015375193699470118,0.905520206391933
