region,model,layer,view,n_pairs,rho,p_perm,null_sd
MTL,vit_b_16,block8,cls,6886,0.06257224095224229,0.004975124378109453,0.013420991747735957
MFC,vit_b_16,block8,cls,6886,0.01565282126427461,0.05970149253731343,0.010035352925678228
amygdala,vit_b_16,block8,cls,5987,0.047894188803875574,0.004975124378109453,0.011059781310770733
hippocampus,vit_b_16,block8,cls,6200,0.024086822934867816,0.024875621890547265,0.010977686581743374
MTL_concept,vit_b_16,block8,cls,5681,0.061747317329284505,0.004975124378109453,0.012157520928480652
MTL,vit_b_16,block8,gap,6886,0.08377666771144449,0.004975124378109453,0.012516015586049666
MFC,vit_b_16,block8,gap,6886,0.01878966727174717,0.05472636815920398,0.009488675290844153
amygdala,vit_b_16,block8,gap,5987,0.06865589236174732,0.004975124378109453,0.010309763606585866
hippocampus,vit_b_16,block8,gap,6200,0.02357084106165702,0.004975124378109453,0.009816552775666431
MTL_concept,vit_b_16,block8,gap,5681,0.08748880541069874,0.004975124378109453,0.01099543943767265
MTL,vit_b_16,block11,cls,6886,0.04727689434666894,0.004975124378109453,0.01314517509275973
MFC,vit_b_16,block11,cls,6886,0.013796679886640371,0.06965174129353234,0.008903236415791972
amygdala,vit_b_16,block11,cls,5987,0.04644911916459893,0.004975124378109453,0.010440866590544882
hippocampus,vit_b_16,block11,cls,6200,0.022562774726669524,0.01990049751243781,0.009970235323203902
MTL_concept,vit_b_16,block11,cls,5681,0.06084100403414469,0.004975124378109453,0.010611924589052156
MTL,vit_b_16,block11,gap,6886,0.11446348011326614,0.004975124378109453,0.011694134991022441
MFC,vit_b_16,block11,gap,6886,0.014608837959366006,0.10945273631840796,0.010461695965815351
amygdala,vit_b_16,block11,gap,5987,0.10522515450592923,0.004975124378109453,0.010585752315946181
hippocampus,vit_b_16,block11,gap,6200,0.0359429231206477,0.009950248756218905,0.010523951556962197
MTL_concept,vit_b_16,block11,gap,5681,0.11858956359871675,0.004975124378109453,0.01244464585313701
MTL,vit_b_16,ln,cls,6886,0.07794934218132696,0.004975124378109453,0.011879090636778411
MFC,vit_b_16,ln,cls,6886,0.006038949524437887,0.373134328358209,0.01116088192448892
amygdala,vit_b_16,ln,cls,5987,0.06714909720770164,0.004975124378109453,0.012560523010380156
hippocampus,vit_b_16,ln,cls,6200,0.024291455073480874,0.024875621890547265,0.01085240344995056
MTL_concept,vit_b_16,ln,cls,5681,0.07984259992202819,0.004975124378109453,0.011890596369134882
MTL,vit_b_16,ln,gap,6886,0.11663431398789904,0.004975124378109453,0.012959694305902806
MFC,vit_b_16,ln,gap,6886,0.019544245408396797,0.04975124378109453,0.010295190889471345
amygdala,vit_b_16,ln,gap,5987,0.11373832880980816,0.004975124378109453,0.011777304504288965
hippocampus,vit_b_16,ln,gap,6200,0.03755544477304046,0.004975124378109453,0.009943271740118232
