criterion,unit_of_inference,layer,supervised,clip
RSA (MTL),15,layer1,-0.0005233886993198326,0.0018698234457362843
RSA (MTL),15,layer2,0.0028634017418633665,0.002687522841269215
RSA (MTL),15,layer3,-0.0037500566722512836,0.001623734101709828
RSA (MTL),15,layer4,-0.005488108273679588,-0.006688200382358241
RSA (MTL),15,avgpool,-0.005488108273679588,-0.009857720881887503
RSA (MTL),16,layer1,0.04898113551534021,0.06711246134140621
RSA (MTL),16,layer2,0.06046784341292616,0.05967494143419093
RSA (MTL),16,layer3,0.07714886334049399,0.0786993226489379
RSA (MTL),16,layer4,0.08792446851369587,0.10862971690946815
RSA (MTL),16,avgpool,0.08792446851369587,0.08687340849773652
RSA (MTL),17,layer1,-0.008733008626275912,0.008261452350873482
RSA (MTL),17,layer2,-0.005703904435232184,0.010017900477939115
RSA (MTL),17,layer3,-0.004218526134905729,-0.006364602092599041
RSA (MTL),17,layer4,-0.01461183331383003,-0.005397806737417847
RSA (MTL),17,avgpool,-0.01461183331383003,-0.012150049530090825
RSA (MTL),18,layer1,-0.0031372601668343447,-0.009471697149571984
RSA (MTL),18,layer2,0.00637393035716831,0.003887750267432456
RSA (MTL),18,layer3,0.03245185687420683,0.02840177556386345
RSA (MTL),18,layer4,0.040677916305079026,0.05629840934683488
RSA (MTL),18,avgpool,0.040677916305079026,0.05986519781728
RSA (MTL),20,layer1,-0.023388157379114958,-0.04825032964613596
RSA (MTL),20,layer2,-0.04803676587493745,-0.04778489400710218
RSA (MTL),20,layer3,0.011732749772008109,0.014355001995652313
RSA (MTL),20,layer4,-0.01367136071799775,-0.05732658566701434
RSA (MTL),20,avgpool,-0.01367136071799775,0.020562024766094988
RSA (MTL),21,layer1,-0.006725206492548376,0.0009409204635528542
RSA (MTL),21,layer2,-0.007608149857644718,0.0006529213614423577
RSA (MTL),21,layer3,0.007424902597830225,0.013509248705211429
RSA (MTL),21,layer4,-0.00849319547651949,0.020308162953799756
RSA (MTL),21,avgpool,-0.00849319547651949,-0.009269089823926695
similarity tuning (MTL concept cells),1-34,layer1,-0.22910330089708555,-0.22627922322809219
similarity tuning (MTL concept cells),1-36,layer1,0.22279738398578383,0.1468999286030842
similarity tuning (MTL concept cells),1-38,layer1,0.027034105856987983,0.02827327441357583
similarity tuning (MTL concept cells),2-0,layer1,-0.10199328896322583,-0.15409021227710634
similarity tuning (MTL concept cells),3-39,layer1,0.1940819363369492,-0.008698916755688667
similarity tuning (MTL concept cells),4-8,layer1,0.18646311700662818,0.22608208493503187
similarity tuning (MTL concept cells),4-13,layer1,-0.24029657262092316,-0.2228458595775221
similarity tuning (MTL concept cells),4-15,layer1,0.19519372940638224,0.009320266306156568
similarity tuning (MTL concept cells),4-25,layer1,0.12137855700761549,0.1834534354772636
similarity tuning (MTL concept cells),4-33,layer1,0.12699897412988118,0.17485986952036428
similarity tuning (MTL concept cells),4-39,layer1,0.22095682384374313,0.1767572358958414
similarity tuning (MTL concept cells),4-40,layer1,-0.1742831855213654,-0.07904010825068314
similarity tuning (MTL concept cells),4-41,layer1,0.21136179051430867,0.46065254271947653
similarity tuning (MTL concept cells),4-43,layer1,0.3380591879881343,0.3241452050955597
similarity tuning (MTL concept cells),4-44,layer1,-0.04934757683106981,0.22882766101757945
similarity tuning (MTL concept cells),4-45,layer1,0.06020488482679519,0.07613916334027553
similarity tuning (MTL concept cells),4-46,layer1,0.08225527993207099,0.22720560070761048
similarity tuning (MTL concept cells),5-5,layer1,0.09373129800915811,0.13923413331085766
similarity tuning (MTL concept cells),5-6,layer1,-0.0467568791444235,-0.06010500738236576
similarity tuning (MTL concept cells),7-17,layer1,0.13508186558464189,0.08514005441046994
similarity tuning (MTL concept cells),7-20,layer1,-0.1642527919524668,-0.08655091767827403
similarity tuning (MTL concept cells),7-21,layer1,-0.23890898924194462,-0.05030942092887338
similarity tuning (MTL concept cells),7-23,layer1,0.10490386752189405,0.11037356333821069
similarity tuning (MTL concept cells),7-24,layer1,-0.12907238919405836,-0.14917214913515656
similarity tuning (MTL concept cells),7-25,layer1,-0.1256008284570716,-0.07781084915396104
similarity tuning (MTL concept cells),7-26,layer1,0.024378011854307362,0.15867943039495258
similarity tuning (MTL concept cells),7-30,layer1,0.14620078126283662,0.18518227579772487
similarity tuning (MTL concept cells),8-34,layer1,0.08888181180810528,0.095446019010447
similarity tuning (MTL concept cells),8-37,layer1,0.24359616985928606,0.3453376839172813
similarity tuning (MTL concept cells),8-38,layer1,0.1326254381244575,0.1027188954704623
similarity tuning (MTL concept cells),8-42,layer1,0.06959757498079508,0.13398744278495292
