criterion,unit_of_inference,layer,supervised,clip
similarity tuning (MTL concept cells),7-20,layer2,-0.0648929849632624,-0.019314350443611104
similarity tuning (MTL concept cells),7-21,layer2,-0.19009831917810208,-0.10227961984332148
similarity tuning (MTL concept cells),7-23,layer2,0.12286406273965023,0.08963770158680129
similarity tuning (MTL concept cells),7-24,layer2,-0.12375066049274926,-0.04118199287320733
similarity tuning (MTL concept cells),7-25,layer2,-0.11606717384227452,-0.06385520154761974
similarity tuning (MTL concept cells),7-26,layer2,0.19243671049171318,0.17699326019594963
similarity tuning (MTL concept cells),7-30,layer2,0.22678674874334578,0.22646392063125564
similarity tuning (MTL concept cells),8-34,layer2,0.14000923933441906,0.11110226476013159
similarity tuning (MTL concept cells),8-37,layer2,0.30372536414923623,0.3143006469724687
similarity tuning (MTL concept cells),8-38,layer2,0.19449536955720698,0.08095746347051253
similarity tuning (MTL concept cells),8-42,layer2,0.13689407004633183,0.031730680936719796
similarity tuning (MTL concept cells),8-45,layer2,0.1293797563494586,0.040221894942441605
similarity tuning (MTL concept cells),10-64,layer2,-0.07385450105095859,-0.07012370666797202
similarity tuning (MTL concept cells),10-67,layer2,0.0496890698104322,-0.01063493660049189
similarity tuning (MTL concept cells),10-70,layer2,-0.045027416493171546,-0.017442360996501604
similarity tuning (MTL concept cells),10-71,layer2,-0.002699127445041416,0.035240009726381846
similarity tuning (MTL concept cells),11-6,layer2,0.07046761590331937,-0.042603556795677275
similarity tuning (MTL concept cells),11-11,layer2,0.3526584984514719,0.30950329902270124
similarity tuning (MTL concept cells),11-12,layer2,0.25597162432793885,0.2810742991934149
similarity tuning (MTL concept cells),11-13,layer2,-0.06050897018754555,-0.050106954200974815
similarity tuning (MTL concept cells),11-17,layer2,-0.3722450992292616,-0.38638259549754866
similarity tuning (MTL concept cells),11-18,layer2,0.23730441587107484,0.22915714666105075
similarity tuning (MTL concept cells),11-25,layer2,0.04645964191759154,-0.01789631473212993
similarity tuning (MTL concept cells),11-28,layer2,0.06703819944350205,0.12765540829036306
similarity tuning (MTL concept cells),11-31,layer2,-0.0026263152249841686,0.013692536658412607
similarity tuning (MTL concept cells),11-34,layer2,-0.1047251392279566,-0.019686506626104775
similarity tuning (MTL concept cells),11-65,layer2,-0.0787907218411505,0.005589796454386685
similarity tuning (MTL concept cells),11-68,layer2,0.08498468082273825,0.08217128995744628
similarity tuning (MTL concept cells),12-14,layer2,0.16347427443089738,0.1283983533705482
similarity tuning (MTL concept cells),12-15,layer2,0.21970392125591287,0.12759747575170238
similarity tuning (MTL concept cells),13-17,layer2,0.027896924947347333,0.050648304967697504
similarity tuning (MTL concept cells),13-18,layer2,-0.12119010731680452,-0.20747342825973653
similarity tuning (MTL concept cells),13-19,layer2,0.4139634966220589,0.4066849618226635
similarity tuning (MTL concept cells),13-20,layer2,0.12641786367652502,0.05223436230554542
similarity tuning (MTL concept cells),13-25,layer2,0.0284926530912636,-0.076175796144711
similarity tuning (MTL concept cells),13-26,layer2,0.05281726867330718,-0.03647993868982504
similarity tuning (MTL concept cells),13-28,layer2,-0.060170329300553396,-0.19338641853588878
similarity tuning (MTL concept cells),13-30,layer2,-0.07363361926825626,-0.0944723650177352
similarity tuning (MTL concept cells),13-31,layer2,0.09914521736328089,0.005159312772300953
similarity tuning (MTL concept cells),13-32,layer2,0.02691620627004746,0.18590902244227334
similarity tuning (MTL concept cells),13-33,layer2,0.13278491826779418,0.1270699322596964
similarity tuning (MTL concept cells),13-35,layer2,0.151418228635794,0.15275442013058205
similarity tuning (MTL concept cells),13-37,layer2,0.16017358187517292,0.17835334816076248
similarity tuning (MTL concept cells),13-46,layer2,0.06185043479510185,0.0848227297824718
similarity tuning (MTL concept cells),13-75,layer2,0.5570561968454435,0.6213309427929186
