analysis,group,text_variant,text_centering,image_space,n,rho_text_mean,rho_text_sem,rho_text_frac_pos,rho_text_p_wilcoxon,rho_text_p_t,rho_img_mean,rho_img_sem,rho_img_frac_pos,rho_img_p_wilcoxon,rho_img_p_t,rho_text_given_img_mean,rho_text_given_img_sem,rho_text_given_img_frac_pos,rho_text_given_img_p_wilcoxon,rho_text_given_img_p_t,rho_img_given_text_mean,rho_img_given_text_sem,rho_img_given_text_frac_pos,rho_img_given_text_p_wilcoxon,rho_img_given_text_p_t,text_minus_img_mean,text_minus_img_p_wilcoxon,rho_text_img_mean,rho_text_null_mean,text_vs_null_p_wilcoxon,region,pref_desc_type
cell,MFC concept,identity+fine,raw,clip_ln_post,29,0.01605479614316873,0.021542315360220353,0.5862068965517241,0.4293668270111084,0.46232033205066947,0.09863794515346598,0.03461739792570207,0.6551724137931034,0.011321667581796646,0.008125036453465136,-0.0077107413488207285,0.019402216953504334,0.4827586206896552,0.7818621210753918,0.6940745895221152,0.08633713296534565,0.03443918956846106,0.6551724137931034,0.03262323513627052,0.01825734725944089,-0.08258314901029724,0.027409173548221588,0.27959902874124803,-0.06687340023446182,0.04802640900015831,,
cell,MFC concept,identity+fine,raw,resnet50_avgpool,29,0.01605479614316873,0.021542315360220353,0.5862068965517241,0.4293668270111084,0.46232033205066947,0.1156571465370638,0.03165206985811346,0.7586206896551724,0.001666329801082611,0.001053741835892084,-0.0041892277372841515,0.018948425554723893,0.5172413793103449,0.9152156375348568,0.8266299753913768,0.0984812552453636,0.0318657816416296,0.6896551724137931,0.007456466555595398,0.00448506645356217,-0.09960235039389508,0.014758598059415817,0.20046158788164392,-0.06687340023446182,0.04802640900015831,,
cell,MTL concept,fine-only,centred,clip_embed,134,0.13047442944447182,0.019729709251974658,0.7089552238805971,1.139251439598415e-08,8.368869204444612e-10,0.1572222799409588,0.019927441954235556,0.7089552238805971,4.013992307555738e-11,9.8386754598863e-13,0.05555139413685503,0.01568276236707234,0.6567164179104478,0.0008544154851785667,0.0005478192837387819,0.08854694342614067,0.016762558076683857,0.664179104477612,2.513966568541735e-06,5.068741654488745e-07,-0.02674785049648698,0.20836088415188125,0.5607622726435889,0.0032091430010738648,0.00016928193342813936,,
cell,MTL concept,fine-only,centred,clip_ln_post,134,0.13047442944447182,0.019729709251974658,0.7089552238805971,1.139251439598415e-08,8.368869204444612e-10,0.1703559367549165,0.020338262036582764,0.7089552238805971,2.3461949489710077e-12,6.747268052485622e-14,0.04928759273644773,0.014915652829773312,0.6194029850746269,0.0013163429230952167,0.001223202173369024,0.10544107558380099,0.017040846228297563,0.6716417910447762,5.2009331699751886e-08,7.04151153197222e-09,-0.03988150731044466,0.04975314981459763,0.5578263538278627,0.0032091430010738648,0.00016928193342813936,,
cell,MTL concept,fine-only,centred,resnet50_avgpool,134,0.13047442944447182,0.019729709251974658,0.7089552238805971,1.139251439598415e-08,8.368869204444612e-10,0.17295460060701734,0.020304698674936457,0.7686567164179104,6.810335928901611e-13,3.0615762782074814e-14,0.053367446432801294,0.01404701147086006,0.6417910447761194,0.00036625001436710417,0.0002199880868465732,0.10510402723042732,0.01684904301967908,0.7089552238805971,7.271140057151492e-08,5.490686230279562e-09,-0.042480171162545495,0.03346833174729011,0.5108505386245371,0.0032091430010738648,0.00016928193342813936,,
cell,MTL concept,fine-only,raw,clip_embed,134,0.1397533306024428,0.01986225149607139,0.7089552238805971,4.960647548387749e-09,9.446704819847788e-11,0.1572222799409588,0.019927441954235556,0.7089552238805971,4.013992307555738e-11,9.8386754598863e-13,0.06935726405865396,0.014931620746588126,0.6567164179104478,3.4292723270664554e-05,8.072309545803744e-06,0.0928191378285174,0.015780782964400903,0.7164179104477612,2.1153070077447236e-07,3.111203717522251e-08,-0.017468949338516053,0.18748789073645944,0.45315218368134386,0.08236853372080902,0.0013893854767311569,,
cell,MTL concept,fine-only,raw,clip_ln_post,134,0.1397533306024428,0.01986225149607139,0.7089552238805971,4.960647548387749e-09,9.446704819847788e-11,0.1703559367549165,0.020338262036582764,0.7089552238805971,2.3461949489710077e-12,6.747268052485622e-14,0.056009317174125085,0.01437927410755134,0.6417910447761194,0.0004052668454517133,0.00015471241408286337,0.11039150427761583,0.016170593596014284,0.7164179104477612,2.976710806093633e-09,2.8027540725796044e-10,-0.03060260615247372,0.014525643427741786,0.44769586111105064,0.08236853372080902,0.0013893854767311569,,
cell,MTL concept,fine-only,raw,resnet50_avgpool,134,0.1397533306024428,0.01986225149607139,0.7089552238805971,4.960647548387749e-09,9.446704819847788e-11,0.17295460060701734,0.020304698674936457,0.7686567164179104,6.810335928901611e-13,3.0615762782074814e-14,0.05870740071094004,0.013876994752471257,0.6492537313432836,8.824480954866104e-05,4.311187636547904e-05,0.11764249851215795,0.015827605494464048,0.7388059701492538,3.1209623101909685e-10,1.1611969104700685e-11,-0.03320127000457457,0.01976741036205888,0.366067791164653,0.08236853372080902,0.0013893854767311569,,
cell,MTL concept,identity+fine,centred,clip_embed,134,0.14555951284463697,0.020639701724626633,0.6865671641791045,4.517589727396551e-09,8.676037680717368e-11,0.1572222799409588,0.019927441954235556,0.7089552238805971,4.013992307555738e-11,9.8386754598863e-13,0.05710327712236745,0.014401461089767448,0.582089552238806,0.0016191706492822977,0.00011922889343801609,0.07652965085122744,0.013033102018626218,0.6567164179104478,3.2015273910152066e-07,3.261391299460342e-08,-0.01166276709632184,0.33014468990903545,0.6468781538457476,0.011641687058443808,0.001083437280966036,,
cell,MTL concept,identity+fine,centred,clip_ln_post,134,0.14555951284463697,0.020639701724626633,0.6865671641791045,4.517589727396551e-09,8.676037680717368e-11,0.1703559367549165,0.020338262036582764,0.7089552238805971,2.3461949489710077e-12,6.747268052485622e-14,0.043029081068055725,0.013778077687040978,0.5373134328358209,0.015256674348031362,0.0021971904091506707,0.09370948350224959,0.013804073744331673,0.7014925373134329,2.858232148015971e-09,3.411355955572024e-10,-0.024796423910279513,0.01796850586732628,0.6445221200931186,0.011641687058443808,0.001083437280966036,,
