subset,space,scope,n,rho_mean,rho_sem,rho_median,frac_pos,rho_null_mean,p_vs_zero,p_vs_null_anchor,contrast,diff_mean,p
pref other,alexnet conv1,same,35,-0.06851366347237477,0.06563947435150382,-0.012049067317796999,0.45714285714285713,-0.039240219132159034,0.5013608777662739,0.9806487238383852,,,
pref other,alexnet conv1,diff,59,0.007720528794850136,0.017870809015419018,0.021521396258388517,0.576271186440678,-0.003587034122213072,0.4921672916261939,0.6452100923800912,,,
pref other,alexnet conv1,partial,57,0.0014790123027300119,0.016896303802054327,0.011052532820726123,0.5614035087719298,-0.005667960657914755,0.6251034592708102,0.45755617822914485,,,
pref other,alexnet conv1,category,57,0.09015256328342486,0.02447875723328264,0.0940626350129448,0.631578947368421,0.0010123112713489276,0.000766003754904914,0.00191826290232615,,,
amygdala,clip ln_post,all,101,0.2000154591055283,0.024636788881798356,0.15576290544985477,0.7326732673267327,0.018652215587155328,7.720067736521943e-11,2.6434980116143714e-11,,,
amygdala,clip ln_post,same,87,0.13764926319666307,0.025431395725708336,0.14414999403128945,0.7011494252873564,0.023868900157576898,1.8523720190143581e-06,3.060682454118492e-05,,,
amygdala,clip ln_post,diff,101,0.06355293711320471,0.018895030880945008,0.04156466143664017,0.6435643564356436,-0.028906844697304847,0.0020162319650243454,1.828714289266284e-06,,,
amygdala,clip ln_post,partial,100,0.09991471559759785,0.017927126560953317,0.09282458567947544,0.77,-0.021569094682358965,1.7622301065729303e-07,2.4389560324235403e-09,,,
amygdala,clip ln_post,category,100,0.18341274703970076,0.027185144991431966,0.16085682104097848,0.69,0.04990652066344689,3.352584783552196e-08,1.0041836658630669e-07,,,
amygdala,resnet50 avgpool,all,101,0.2013589411820635,0.024965971512173966,0.15994068814749493,0.801980198019802,-0.005682462131118123,5.375062628067769e-11,4.907709824016992e-11,,,
amygdala,resnet50 avgpool,same,87,0.13310640644216895,0.025525895194861162,0.1680731613632036,0.7126436781609196,0.03208391421854125,2.272125220682386e-06,0.00014678091946345237,,,
amygdala,resnet50 avgpool,diff,101,0.08107900400086569,0.019433960502055123,0.05635735611837355,0.7029702970297029,-0.05594986353881593,3.1121704723001664e-05,2.9943779506770867e-07,,,
amygdala,resnet50 avgpool,partial,100,0.10985437560359278,0.019009838931996405,0.1062808787578114,0.77,-0.04269812352587837,1.408966700163824e-07,7.178230546260448e-09,,,
