subject,model,layer,view,metric,rho
4,alexnet,conv3,gap,correlation,0.03591925304129913
4,alexnet,conv3,gap,euclidean,0.013524898816673084
4,alexnet,conv3,rp,correlation,0.05404889148303247
4,alexnet,conv3,rp,euclidean,0.011854451186176318
4,alexnet,conv4,gap,correlation,0.053214403053875925
4,alexnet,conv4,gap,euclidean,0.04323048411930755
4,alexnet,conv4,rp,correlation,0.07213767048810978
4,alexnet,conv4,rp,euclidean,0.043721548049035046
4,alexnet,conv5,gap,correlation,0.04528749353021332
4,alexnet,conv5,gap,euclidean,0.011400699441901722
4,alexnet,conv5,rp,correlation,0.07169778073139334
4,alexnet,conv5,rp,euclidean,0.005326389381294181
4,alexnet,fc6,gap,correlation,0.0692334882447897
4,alexnet,fc6,gap,euclidean,0.011623548007950072
4,alexnet,fc6,rp,correlation,0.08093454256388281
4,alexnet,fc6,rp,euclidean,0.013958225675386965
4,alexnet,fc7,gap,correlation,0.06949314799941347
4,alexnet,fc7,gap,euclidean,0.007977689020676951
4,alexnet,fc7,rp,correlation,0.045030865531613305
4,alexnet,fc7,rp,euclidean,0.005673738087776303
4,alexnet,logits,gap,correlation,0.058330533227955825
4,alexnet,logits,gap,euclidean,0.026262320753627152
4,alexnet,logits,rp,correlation,0.058330533227955825
4,alexnet,logits,rp,euclidean,0.026262320753627152
4,vgg16,conv1_2,gap,correlation,0.010053283643722004
4,vgg16,conv1_2,gap,euclidean,0.011485520951824736
4,vgg16,conv1_2,rp,correlation,0.03131416867883766
4,vgg16,conv1_2,rp,euclidean,0.007001018966433713
4,vgg16,conv2_2,gap,correlation,0.02703650430140777
4,vgg16,conv2_2,gap,euclidean,0.01502977745016341
4,vgg16,conv2_2,rp,correlation,0.04499367416534307
4,vgg16,conv2_2,rp,euclidean,0.005096280387828675
4,vgg16,conv3_3,gap,correlation,0.044161201000153444
4,vgg16,conv3_3,gap,euclidean,0.012860185503002285
4,vgg16,conv3_3,rp,correlation,0.05410546707897002
4,vgg16,conv3_3,rp,euclidean,0.011292210259555175
4,vgg16,conv4_3,gap,correlation,0.057696989652491044
4,vgg16,conv4_3,gap,euclidean,0.02055530423017664
4,vgg16,conv4_3,rp,correlation,0.07134405921575607
4,vgg16,conv4_3,rp,euclidean,0.013263160972107406
4,vgg16,conv5_3,gap,correlation,0.045616569543508664
4,vgg16,conv5_3,gap,euclidean,-0.00039259146308537736
4,vgg16,conv5_3,rp,correlation,0.054520419756383685
4,vgg16,conv5_3,rp,euclidean,-0.008582168333558994
4,vgg16,fc6,gap,correlation,0.03415921557047004
4,vgg16,fc6,gap,euclidean,0.0010010465325384296
4,vgg16,fc6,rp,correlation,0.02755544363296053
4,vgg16,fc6,rp,euclidean,0.0013695418178324063
