region,scope,model,layer,n,mean,sem,p
MTL_concept,within animal,vit_b_16,ln,6.0,0.07075810991531527,0.04257611766756175,0.15741813741508576
MTL_concept,within face_person,alexnet,conv1,14.0,0.035708666073902634,0.0240964738173919,0.16219561286399034
MTL_concept,within face_person,alexnet,conv4,14.0,0.02261642205561624,0.031085013482393037,0.4797781593912591
MTL_concept,within face_person,clip_vitb32,ln_post,14.0,0.01602003471298547,0.03937714831660926,0.6907473500172059
MTL_concept,within face_person,dinov2_small,norm,14.0,0.04420828029423252,0.033902243568356256,0.21485362753144563
MTL_concept,within face_person,resnet50,avgpool,14.0,0.047394553354648025,0.027968939810718206,0.11396802459502763
MTL_concept,within face_person,resnet50,layer2,14.0,0.040737407970630864,0.02651160124503083,0.14836961228416656
MTL_concept,within face_person,vit_b_16,ln,14.0,0.024907682999700587,0.023647664012438806,0.31139549474013284
MTL_concept,within landmark_place,alexnet,conv1,6.0,-0.029419540038110457,0.07286569113259406,0.703084880397645
MTL_concept,within landmark_place,alexnet,conv4,6.0,-0.0444382882631994,0.04718179234216923,0.3895123189170372
MTL_concept,within landmark_place,clip_vitb32,ln_post,6.0,0.00707628166027872,0.03314758167614853,0.8393858601459183
MTL_concept,within landmark_place,dinov2_small,norm,6.0,-0.033632285514329806,0.03315711774899355,0.35696613937636756
MTL_concept,within landmark_place,resnet50,avgpool,6.0,-0.05152508485092902,0.05465564072061741,0.3891079663715314
MTL_concept,within landmark_place,resnet50,layer2,6.0,-0.06498516643703282,0.05687091645815516,0.304919069682711
MTL_concept,within landmark_place,vit_b_16,ln,6.0,0.03602334011033149,0.03719533613776293,0.3772801816093663
MTL_concept,within vehicle,alexnet,conv1,5.0,0.06692995084299433,0.0768222037928357,0.43279588922326423
MTL_concept,within vehicle,alexnet,conv4,5.0,0.10219187001795697,0.055089148052595065,0.13718816328429206
MTL_concept,within vehicle,clip_vitb32,ln_post,5.0,0.17642462903332468,0.05583354912102813,0.034189573779547115
MTL_concept,within vehicle,dinov2_small,norm,5.0,0.10484770484770482,0.06913401260458463,0.20396406032767767
MTL_concept,within vehicle,resnet50,avgpool,5.0,0.09368762325284066,0.09069107840187203,0.3599488226897467
MTL_concept,within vehicle,resnet50,layer2,5.0,-0.014708830795787312,0.05070614391490068,0.7861716533549872
MTL_concept,within vehicle,vit_b_16,ln,5.0,0.10944343553039207,0.057839844045099016,0.13141928151542162
MTL_concept,within-category pairs (all cats),alexnet,conv1,14.0,0.032553585825851376,0.01594673512019321,0.062051499226907315
MTL_concept,within-category pairs (all cats),alexnet,conv4,14.0,0.031105003275459113,0.02065992144624755,0.1560830400775991
MTL_concept,within-category pairs (all cats),clip_vitb32,ln_post,14.0,0.06603107911919023,0.0332334046239977,0.06842668365277356
MTL_concept,within-category pairs (all cats),dinov2_small,norm,14.0,0.05260618831534509,0.02385945754995167,0.04608627991545848
MTL_concept,within-category pairs (all cats),resnet50,avgpool,14.0,0.04648477378229738,0.020041511078151705,0.037289083328947724
MTL_concept,within-category pairs (all cats),resnet50,layer2,14.0,0.035943797348764205,0.0211694384646869,0.11331776386563225
